Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,k
Creditcard Fraud,SMOTE,Logistic Regression,28874,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,28874,mean,0.26794149800968137,1.1620980510853207,0.6313820589522723,11.8,573.2,0.9329059257311269,0.9899196313947558,0.8799216656359514,0.9349206485153537,56289.8,86.6,28874.0
Creditcard Fraud,SMOTE,Logistic Regression,28874,std,0.11596042405583963,0.0731987783633632,0.059390703171385846,5.215361924162119,354.7769721952088,0.02594705936286569,0.006239153266539018,0.05336279078033594,0.024430271471244158,354.7769721952088,5.594640292279746,0.0
Creditcard Fraud,SMOTE,Logistic Regression,28874,min,0.14296463506395787,1.0651043557251327,0.5664243664684326,4.0,186.0,0.9040065870338418,0.9800397446494206,0.826530612244898,0.9076377451425499,55728.0,81.0,28874.0
Creditcard Fraud,SMOTE,Logistic Regression,28874,25%,0.1978021978021978,1.1391463471733365,0.5959966666579223,10.0,406.0,0.9132347552027128,0.9887448780402018,0.8367346938775511,0.9167318370289924,56223.0,82.0,28874.0
Creditcard Fraud,SMOTE,Logistic Regression,28874,50%,0.2569343065693431,1.1527954017987119,0.6262196546755597,12.0,499.0,0.9340842368119056,0.9912245220969699,0.8787878787878788,0.935823955397316,56364.0,87.0,28874.0
Creditcard Fraud,SMOTE,Logistic Regression,28874,75%,0.2939189189189189,1.1876156906456492,0.6451153201166437,16.0,640.0,0.9434400684194624,0.9928600320067531,0.8979591836734694,0.9445918528852196,56457.0,88.0,28874.0
Creditcard Fraud,SMOTE,Logistic Regression,28874,max,0.44808743169398907,1.2658284600837733,0.7231542868428028,17.0,1135.0,0.9697639811877115,0.9967289801804337,0.9595959595959596,0.9698178521226901,56677.0,95.0,28874.0
