Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
Asirra Imbalanced,Autoencoder Clustering,Logistic Regression,0.31547619047619047,0.476761503413831,0.417910447761194,0.5,0.458955223880597
Asirra Imbalanced,K-Means,Logistic Regression,0.4888888888888889,0.4889023020304168,0.9850746268656716,0.0,0.4925373134328358
Asirra Imbalanced,No Oversampling,Logistic Regression,0.49264705882352944,0.4927003381249152,1.0,0.0,0.5
Asirra Imbalanced,Random Clustering,Logistic Regression,0.4888888888888889,0.4889023020304168,0.9850746268656716,0.0,0.4925373134328358
Asirra Imbalanced,SMOTE,Logistic Regression,0.4888888888888889,0.4889023020304168,0.9850746268656716,0.0,0.4925373134328358
