Dataset,Oversampling,Classifier,,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
Creditcard Fraud,No Oversampling,Logistic Regression,count,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,No Oversampling,Logistic Regression,mean,0.8100498356423815,0.8449376225717149,0.9998557937498902,0.5055040197897341,0.752679906769812
Creditcard Fraud,No Oversampling,Logistic Regression,std,0.0643442576868226,0.03966256326310358,0.00027397133095144574,0.1937213273110949,0.09675266613005051
Creditcard Fraud,No Oversampling,Logistic Regression,min,0.7262549266657293,0.7979715293247197,0.9993668993897613,0.29591836734693877,0.6479503906094383
Creditcard Fraud,No Oversampling,Logistic Regression,25%,0.7570629230723103,0.80708418626003,0.9999472416158135,0.35714285714285715,0.6785450493793352
Creditcard Fraud,No Oversampling,Logistic Regression,50%,0.8375330032969681,0.866004149395323,0.9999824138719379,0.5151515151515151,0.7575669645117264
Creditcard Fraud,No Oversampling,Logistic Regression,75%,0.8634517774609892,0.8673865603188954,0.9999824138719379,0.5714285714285714,0.7857142857142857
Creditcard Fraud,No Oversampling,Logistic Regression,max,0.8659465477159108,0.8862416875596063,1.0,0.7878787878787878,0.8936228436342746
Creditcard Fraud,SMOTE,Logistic Regression,count,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,mean,0.6304388810661059,0.7374386313792918,0.98982466630322,0.8840032982890126,0.9369139822961163
Creditcard Fraud,SMOTE,Logistic Regression,std,0.059763017494558986,0.024455517962188443,0.006018203251829555,0.04884751168875378,0.022289233951920385
Creditcard Fraud,SMOTE,Logistic Regression,min,0.5683925000339806,0.710939132729171,0.9806200868754726,0.8367346938775511,0.9124232356537572
Creditcard Fraud,SMOTE,Logistic Regression,25%,0.592734232970537,0.7235437575060534,0.9881117774299633,0.8469387755102041,0.9218162917172565
Creditcard Fraud,SMOTE,Logistic Regression,50%,0.6226682153014538,0.7353235318237497,0.9908903856637884,0.8787878787878788,0.9357975762052226
Creditcard Fraud,SMOTE,Logistic Regression,75%,0.6443610634346301,0.7415324054382556,0.9928072736225665,0.8979591836734694,0.9444247846686289
Creditcard Fraud,SMOTE,Logistic Regression,max,0.7240383935899278,0.7758543293992293,0.9966938079243093,0.9595959595959596,0.970108023235716
