Dataset,Oversampling,Classifier,k,,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,492,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,492,mean,0.8015381408296458,0.9005967215903132,20.6,18.6,0.8880036050844783,0.9996728980180434,0.7904349618635333,0.8950539299407885,56844.4,77.8
Creditcard Fraud,K-Means,Logistic Regression,492,std,0.06390069386324393,0.032013347898811634,7.765307463326871,17.67201177002777,0.04494101836029972,0.000310782262104141,0.07963259441338451,0.03973606987507539,17.672011770027773,8.105553651663778
Creditcard Fraud,K-Means,Logistic Regression,492,min,0.7204301075268817,0.8599864541995386,11.0,2.0,0.8266927983446223,0.9991734519810773,0.6836734693877551,0.8416520803492247,56816.0,67.0
Creditcard Fraud,K-Means,Logistic Regression,492,25%,0.7521367521367521,0.8758132964659484,16.0,6.0,0.8630291767711291,0.9996306913106942,0.7448979591836735,0.8723962212076504,56842.0,73.0
Creditcard Fraud,K-Means,Logistic Regression,492,50%,0.8248587570621468,0.9122931088049318,20.0,17.0,0.893281440101585,0.9997010358229429,0.797979797979798,0.8989723128618368,56846.0,79.0
Creditcard Fraud,K-Means,Logistic Regression,492,75%,0.8324873096446701,0.9160985679900642,25.0,21.0,0.9145952876427808,0.9998944832316269,0.8367346938775511,0.918217864850247,56857.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,492,max,0.8777777777777778,0.9387921804910833,31.0,47.0,0.9424193225622739,0.9999648277438756,0.8888888888888888,0.9440311704349831,56861.0,88.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,mean,0.5588232098689687,0.7790113450412693,37.6,53.4,0.7584814319171411,0.9990609007614794,0.6171717171717171,0.8081163089665984,56809.6,60.8
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,std,0.1978272255882412,0.09900847240485298,29.73718211263468,68.92242015483785,0.22661843750735347,0.001212078507198687,0.30389440211337115,0.1515090644228749,68.92242015483787,30.028319966325125
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,min,0.2631578947368421,0.6312099047703612,11.0,1.0,0.39122695808890867,0.9972213917661749,0.15306122448979592,0.576521819180867,56705.0,15.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,25%,0.49411764705882355,0.7463016613030027,14.0,5.0,0.69977420743313,0.9984172484744034,0.4897959183673469,0.7447836493512694,56773.0,48.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,50%,0.6037735849056604,0.8016099010206422,30.0,13.0,0.8348104048093586,0.9997713803351916,0.696969696969697,0.8484408831646932,56850.0,69.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,75%,0.6353790613718412,0.8172451722778675,50.0,90.0,0.9245329593597167,0.9999120693596891,0.8571428571428571,0.927182124454516,56858.0,84.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,max,0.7976878612716763,0.8986900858344737,83.0,158.0,0.9420626298945916,0.9999824138719379,0.8888888888888888,0.943653068681646,56862.0,88.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,mean,0.6205989329129147,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8
Creditcard Fraud,No Oversampling,Logistic Regression,492,std,0.12860028894173683,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555
Creditcard Fraud,No Oversampling,Logistic Regression,492,min,0.453125,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,25%,0.5147058823529411,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,50%,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,75%,0.7272727272727273,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,max,0.7323943661971831,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0
