Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss
Creditcard Fraud,1,K-Means,Logistic Regression,400,0.7802690582959642,0.3509694837186439,0.8899190517115478,12.0,37.0,0.9371318280633584,0.9993493132616992,0.8787878787878788,0.9390685960247891,56826.0,87.0,
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,400,0.3938053097345133,17.22200049791627,0.69569530856156,10.0,264.0,0.9459472102588357,0.9953572621915833,0.898989898989899,0.9471735805907412,56599.0,89.0,0.5893677205988573
Creditcard Fraud,1,No Oversampling,Logistic Regression,400,0.7323943661971831,0.7469890579137495,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,
Creditcard Fraud,1,SMOTE,Logistic Regression,400,0.14592933947772657,1.087182330919123,0.5680278012762183,4.0,1108.0,0.969998876184783,0.9805145701070995,0.9595959595959596,0.9700552648515295,55755.0,95.0,
Creditcard Fraud,2,K-Means,Logistic Regression,400,0.8961748633879781,0.5742283715435947,0.9480039086020521,17.0,2.0,0.9100844442726447,0.9999648277438756,0.8282828282828283,0.9141238280133519,56861.0,82.0,
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,400,0.00038755934502470693,6.197533884767581,0.31365432137282934,93.0,30858.0,0.16648364379705896,0.4573272602571092,0.06060606060606061,0.2589666604315849,26005.0,6.0,0.5878756997745868
Creditcard Fraud,2,No Oversampling,Logistic Regression,400,0.6754966887417219,0.7469890579137495,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,
Creditcard Fraud,2,SMOTE,Logistic Regression,400,0.3,1.1999920612641768,0.6482089920948617,12.0,394.0,0.9341835018745462,0.9930710655434993,0.8787878787878788,0.9359294721656891,56469.0,87.0,
Creditcard Fraud,3,K-Means,Logistic Regression,400,0.6831683168316832,0.37969029900766227,0.8413027655210121,29.0,35.0,0.8388374456421988,0.9993844855178236,0.7040816326530612,0.8517330590854424,56828.0,69.0,
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,400,0.009289498512228754,2.369193406053083,0.4364872145307716,34.0,13617.0,0.7047499225542588,0.760529694177233,0.6530612244897959,0.7067954593335145,43246.0,64.0,0.5869774057314463
Creditcard Fraud,3,No Oversampling,Logistic Regression,400,0.5147058823529411,0.7469890579137495,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,
Creditcard Fraud,3,SMOTE,Logistic Regression,400,0.19226260257913247,1.261817866579551,0.5930844891659957,16.0,673.0,0.90930278256206,0.9881645358141498,0.8367346938775511,0.9124496148458504,56190.0,82.0,
Creditcard Fraud,4,K-Means,Logistic Regression,400,0.8512820512820513,0.4327983703985572,0.9255135273336756,15.0,14.0,0.9201794685154993,0.9997537942071294,0.8469387755102041,0.9233462848586669,56849.0,83.0,
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,400,0.0039422376483695416,5.8816280552763995,0.37366621183075316,52.0,23193.0,0.5271965406779358,0.5921249318537538,0.46938775510204084,0.5307563434778972,33670.0,46.0,0.5885759535545318
Creditcard Fraud,4,No Oversampling,Logistic Regression,400,0.7272727272727273,0.7469890579137495,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,
Creditcard Fraud,4,SMOTE,Logistic Regression,400,0.24858757062146894,1.1368463855285005,0.6219442525674341,10.0,522.0,0.9432475578127674,0.9908200411515397,0.8979591836734694,0.9443896124125045,56341.0,88.0,
Creditcard Fraud,5,K-Means,Logistic Regression,400,0.7307692307692307,0.7469890579137495,0.8652000259642262,41.0,1.0,0.7626417405275577,0.9999824138719379,0.5816326530612245,0.7908075334665812,56862.0,57.0,
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,400,0.009572072072072071,6.6406532670792995,0.4133257918647418,13.0,17577.0,0.7741060235571641,0.6908886270509822,0.8673469387755102,0.7791177829132462,39286.0,85.0,0.5906706074173738
Creditcard Fraud,5,No Oversampling,Logistic Regression,400,0.453125,0.7469890579137495,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,
Creditcard Fraud,5,SMOTE,Logistic Regression,400,0.44623655913978494,1.1501612937305783,0.7222111901819577,15.0,191.0,0.9187458571992128,0.9966410495401228,0.8469387755102041,0.9217899125251634,56672.0,83.0,
