Dataset,Oversampling,Classifier,k,,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,400,mean,0.7674505251997947,0.883545029381968,27.8,13.2,0.8406600148752273,0.9997678631095791,0.7169655741084312,0.8583667186090052,56849.8,70.6
Creditcard Fraud,K-Means,Logistic Regression,400,std,0.1174830639382657,0.05880797599282889,17.326280616450838,15.896540504147435,0.11219242817907914,0.000279558597051665,0.17733096819300406,0.08859448905823537,15.896540504147435,17.686152775547313
Creditcard Fraud,K-Means,Logistic Regression,400,min,0.5714285714285714,0.785437423486204,12.0,2.0,0.6546133745862835,0.9992965548775126,0.42857142857142855,0.7142241628374967,56823.0,42.0
Creditcard Fraud,K-Means,Logistic Regression,400,25%,0.7699115044247787,0.8847270762462334,19.0,2.0,0.8206373744336192,0.9997362080790673,0.673469387755102,0.8367171077494888,56848.0,66.0
Creditcard Fraud,K-Means,Logistic Regression,400,50%,0.7951807228915663,0.8974409187790227,20.0,7.0,0.8920248934373473,0.9998768971035648,0.7959183673469388,0.8978272877130031,56856.0,78.0
Creditcard Fraud,K-Means,Logistic Regression,400,75%,0.8167539267015707,0.9082230914952667,32.0,15.0,0.8989173410584853,0.9999648277438756,0.8080808080808081,0.9040228179123417,56861.0,80.0
Creditcard Fraud,K-Means,Logistic Regression,400,max,0.8839779005524862,0.9418966369031125,56.0,40.0,0.9371070908604012,0.9999648277438756,0.8787878787878788,0.9390422168326957,56861.0,87.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,mean,0.01062465610813448,0.43246106884942276,41.2,13547.2,0.5629136914925692,0.7617572059159734,0.5800453514739229,0.6709012786949482,43315.8,57.2
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,std,0.012525613195360165,0.06311313317308981,43.4131316539132,10477.083668655128,0.3867367757139551,0.1842513351151914,0.4433668724711399,0.23302287980045538,10477.083668655128,43.76299806914513
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,min,0.0,0.3419551286947663,7.0,785.0,0.0,0.518685261066071,0.0,0.36138344685956614,29494.0,0.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,25%,0.0014552333830538072,0.41648288425123453,8.0,5677.0,0.32535232427545846,0.6997520355943232,0.20408163265306123,0.4930974447355926,39790.0,20.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,50%,0.009735744089012517,0.41839598517658744,15.0,16832.0,0.7705381235852082,0.7039902924573097,0.8484848484848485,0.7741184420395859,40031.0,84.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,75%,0.010575793184488837,0.48937707777466394,78.0,17073.0,0.8040657293745781,0.9001635509909783,0.9183673469387755,0.8111788196980425,51186.0,90.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,max,0.03135650988411725,0.4960942683498616,98.0,27369.0,0.9146122802276008,0.9861948894711852,0.9292929292929293,0.9147282401419538,56078.0,92.0
Creditcard Fraud,No Oversampling,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,No Oversampling,Logistic Regression,400,mean,0.6205989329129147,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8
Creditcard Fraud,No Oversampling,Logistic Regression,400,std,0.12860028894173683,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555
Creditcard Fraud,No Oversampling,Logistic Regression,400,min,0.453125,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0
Creditcard Fraud,No Oversampling,Logistic Regression,400,25%,0.5147058823529411,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,No Oversampling,Logistic Regression,400,50%,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,No Oversampling,Logistic Regression,400,75%,0.7272727272727273,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0
Creditcard Fraud,No Oversampling,Logistic Regression,400,max,0.7323943661971831,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0
Creditcard Fraud,SMOTE,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,400,mean,0.2678839835167566,0.6313238640522769,11.2,580.4,0.936138358821165,0.9897930112727081,0.8860441146155431,0.9379185629441256,56282.6,87.2
Creditcard Fraud,SMOTE,Logistic Regression,400,std,0.11729291040287193,0.060082990301090905,4.868264577855235,359.0477684097201,0.024008784295130276,0.006314260035694924,0.049780594124975854,0.022680978839145213,359.0477684097201,5.215361924162119
Creditcard Fraud,SMOTE,Logistic Regression,400,min,0.14210919970082272,0.5659607613077732,4.0,189.0,0.9093756015456047,0.9798990556249231,0.8367346938775511,0.9125287524221304,55720.0,82.0
Creditcard Fraud,SMOTE,Logistic Regression,400,25%,0.1943127962085308,0.5941496240191206,9.0,396.0,0.9187620686925697,0.9883228109667095,0.8469387755102041,0.9218074986532256,56199.0,83.0
Creditcard Fraud,SMOTE,Logistic Regression,400,50%,0.25538020086083213,0.6253982037644854,12.0,510.0,0.9341669584299365,0.9910310746882859,0.8787878787878788,0.935911886037627,56353.0,87.0
Creditcard Fraud,SMOTE,Logistic Regression,400,75%,0.29896907216494845,0.647684673719008,15.0,664.0,0.9486927936949608,0.993035893287375,0.9081632653061225,0.9495971699972041,56467.0,89.0
Creditcard Fraud,SMOTE,Logistic Regression,400,max,0.4486486486486487,0.7234260574509976,16.0,1143.0,0.9696943717427531,0.9966762217962472,0.9595959595959596,0.9697475076104414,56674.0,95.0
