Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,K-Means,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,400,mean,0.8213188500434727,0.5826047468876627,0.9105090679593892,21.0,13.2,0.8855312438610785,0.9997678631095791,0.7863327149041435,0.8930502890068613,56849.8,77.4,,400.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,400,std,0.07359405625815847,0.07441454621457985,0.03686312305096426,8.602325267042627,16.34625339336204,0.04971859645640647,0.00028746730551260476,0.08817219820165094,0.04403638067993015,16.34625339336204,8.961026726887942,,0.0,0.0
Creditcard Fraud,K-Means,Logistic Regression,400,min,0.7165775401069518,0.5117036213552195,0.85805577229553,10.0,2.0,0.8266855264643727,0.9993317271336369,0.6836734693877551,0.8416432872851936,56825.0,67.0,,400.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,400,25%,0.7876106194690266,0.5287748707739404,0.8935942242272924,16.0,2.0,0.8451393916068671,0.9996131051826319,0.7142857142857143,0.857125271014795,56841.0,70.0,,400.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,400,50%,0.8235294117647058,0.5609115710460189,0.9116328400690046,20.0,2.0,0.893281440101585,0.9999648277438756,0.797979797979798,0.8989723128618368,56861.0,79.0,,400.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,400,75%,0.8777777777777778,0.6168626328126536,0.9387921804910833,28.0,22.0,0.9147159471828343,0.9999648277438756,0.8367346938775511,0.9183497608107134,56861.0,82.0,,400.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,400,max,0.9010989010989011,0.6947710384504813,0.9504703227140365,31.0,38.0,0.9478339139497328,0.9999648277438756,0.898989898989899,0.9491608130617679,56861.0,89.0,,400.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,400,mean,0.3028448312679342,4.7212655072413705,0.5813924439490676,28.8,11890.6,0.6578872293603917,0.7908903856637884,0.7064728921871779,0.7486816389254831,44972.4,69.6,0.5887252719506397,400.0,
