Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,1000,mean,,,,,0.8132471487036337,0.1253878038389722,0.9064608978604223,19.4,17.6,0.8948838497086875,0.9996904841461054,0.802618016903731,5.2,0.9011542505249184,56845.4,79.0
Creditcard Fraud,K-Means,Logistic Regression,1000,std,,,,,0.07772588392564457,0.09423912553792237,0.03893560685631537,7.569676347110225,17.198837169994952,0.043991363530761454,0.00030246095299221515,0.07769802514176002,1.3038404810405297,0.03881472381891874,17.198837169994956,7.937253933193772
Creditcard Fraud,K-Means,Logistic Regression,1000,min,,,,,0.7243243243243244,0.06846573411662948,0.8619379607149638,11.0,3.0,0.8267000701609064,0.9992086242372017,0.6836734693877551,4.0,0.8416608734132557,56818.0,67.0
Creditcard Fraud,K-Means,Logistic Regression,1000,25%,,,,,0.7586206896551724,0.08050123864584702,0.8790640654059909,16.0,3.0,0.8804989235153385,0.9996482774387563,0.7755102040816326,4.0,0.8876056199522877,56843.0,76.0
Creditcard Fraud,K-Means,Logistic Regression,1000,50%,,,,,0.7958115183246073,0.08642584682536647,0.8977343019518685,17.0,17.0,0.9100764415251934,0.9997010358229429,0.8282828282828283,5.0,0.9141150349493209,56846.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,1000,75%,,,,,0.8913043478260869,0.09870891613636967,0.9455642540959166,22.0,20.0,0.9147079037086698,0.9999472416158135,0.8367346938775511,6.0,0.9183409677466823,56860.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,1000,max,,,,,0.8961748633879781,0.2928372834706483,0.9480039071333723,31.0,45.0,0.9424359096333296,0.9999472416158135,0.8888888888888888,7.0,0.9440487565630453,56860.0,88.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,mean,0.5897013778972713,0.5921020659535243,0.0018952011043284083,0.0029968241865135784,0.1815215045348924,22.596493510459407,0.48400244512436474,24.8,12824.8,0.6472754374532331,0.7744614248280957,0.7480519480519481,2.2,0.7612566864400219,44038.2,73.6
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,std,0.0023138304399602863,0.008080114031183938,0.0006616833132674018,0.0030358194884697286,0.1883434224978054,2.843992164361281,0.2838187474758964,22.465529150233696,24731.684772776804,0.3645238672479284,0.43493457560763243,0.2274379392694573,1.7888543819998317,0.1625743574923677,24731.684772776804,22.423202269078338
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,min,0.5876014498885884,0.5804649939189389,0.0015651697822397475,0.001502191357926573,0.003470883146934053,19.32035230703597,0.001999163926573676,0.0,55.0,0.016241672356403704,0.00026379192093276823,0.45454545454545453,1.0,0.5001318959604664,15.0,45.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,25%,0.5876430380673275,0.5890961238769971,0.0015804465324990575,0.0015873215789521408,0.029269861691862336,20.982080870183207,0.48661368743807254,7.0,246.0,0.673873728041018,0.8939732339130894,0.5918367346938775,1.0,0.7267891087510172,50834.0,58.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,50%,0.589140746884438,0.5939575345917769,0.0016238706367044952,0.001726413770628474,0.13404825737265416,22.12014104007478,0.5627290301517136,23.0,946.0,0.7676433664197538,0.9833635228531734,0.7653061224489796,1.0,0.7937552735952901,55917.0,75.0
