Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,1000,,,,,0.75,0.111635251318698,0.8747361106224271,9.0,51.0,0.953034916592456,0.9991031074688286,0.9090909090909091,4.0,0.9540970082798688,56812.0,90.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5892477932706501,0.5890365370931947,0.0015600633168421298,0.002055449305956028,0.7323943661971831,0.057980766270848694,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,1.0,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,1000,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,1000,,,,,0.05936352509179926,0.08341051832485569,0.5157918695441646,2.0,3072.0,0.9627381784040495,0.9459754145929691,0.9797979797979798,0.0,0.9628866971954744,53791.0,97.0
Creditcard Fraud,2,K-Means,Logistic Regression,1000,,,,,0.8677248677248677,0.14364239698534398,0.9337525292596291,17.0,8.0,0.910036426732309,0.9998593109755025,0.8282828282828283,5.0,0.9140710696291654,56855.0,82.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5876993506184794,0.5940026200527949,0.0016101818723523464,0.0015263514432865726,0.7142857142857143,7.0515333762081855,0.8568614147505969,19.0,45.0,0.8985773825970196,0.9992086242372017,0.8080808080808081,1.0,0.9036447161590049,56818.0,80.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5880283728416866,0.5942018118673469,0.0016737368060525152,0.001565473528168098,0.7757575757575758,0.08465666193883115,0.8877161633831436,35.0,2.0,0.8040161123040543,0.9999648277438756,0.6464646464646465,2.0,0.823214737104261,56861.0,64.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,1000,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,1000,,,,,0.16776625824693686,0.08538350761700952,0.5799713068256384,10.0,873.0,0.94084429420543,0.9846473102017129,0.898989898989899,0.0,0.941818604595806,55990.0,89.0
Creditcard Fraud,3,K-Means,Logistic Regression,1000,,,,,0.7243243243243244,0.08299796339885646,0.8619379607149638,31.0,20.0,0.8267000701609064,0.9996482774387563,0.6836734693877551,5.0,0.8416608734132557,56843.0,67.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5873678393084689,0.594257180477423,0.0014703377083865432,0.0016326840537310887,0.21621621621621623,25.42032225287447,0.6075983255567343,82.0,34.0,0.4039401999884082,0.9994020716458857,0.16326530612244897,1.0,0.5813336888841674,56829.0,16.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.587854093850911,0.5945307901239163,0.0016247216382704963,0.0017426978780415393,0.6900584795321637,0.07500066496670676,0.8447962747811586,39.0,14.0,0.7758173692242307,0.9997537942071294,0.6020408163265306,3.0,0.80089730526683,56849.0,59.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,1000,,,,,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,1000,,,,,0.09818819403857393,0.07980604026001092,0.5422186570000376,14.0,1529.0,0.9132880050484402,0.9731108101929198,0.8571428571428571,0.0,0.9151268336678885,55334.0,84.0
Creditcard Fraud,4,K-Means,Logistic Regression,1000,,,,,0.907103825136612,0.0694826628286016,0.9534771800667015,15.0,2.0,0.920276581665898,0.9999648277438756,0.8469387755102041,5.0,0.9234518016270399,56861.0,83.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5889994994912586,0.5889104049840449,0.0015842387211822961,0.0016700005238917412,0.7672955974842768,0.03267330251123246,0.883485179964504,37.0,0.0,0.7889543583705186,1.0,0.6224489795918368,1.0,0.8112244897959184,56863.0,61.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,1000,,,,,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,1000,,,,,0.087890625,0.07138000522375343,0.5355966345229901,8.0,1860.0,0.9425112036490509,0.9672898018043368,0.9183673469387755,0.0,0.9428285743715561,55003.0,90.0
Creditcard Fraud,5,K-Means,Logistic Regression,1000,,,,,0.8089887640449438,0.07397705042351266,0.9043449235894996,26.0,8.0,0.8570825597257732,0.9998593109755025,0.7346938775510204,3.0,0.8672765942632614,56855.0,72.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5911340340421931,0.580784358968812,0.0015822717455568943,0.0016671749498810453,0.1728395061728395,30.300947021900924,0.5858307938740428,84.0,50.0,0.37779826317321613,0.9991206935968908,0.14285714285714285,1.0,0.5709889182270169,56813.0,14.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5913458899907824,0.5804007665735247,0.0016577387708371198,0.0015664733334453192,0.7428571428571429,0.45710016441929957,0.8712307640138703,33.0,12.0,0.8143250793749981,0.9997889664632538,0.6632653061224489,3.0,0.8315271362928514,56851.0,65.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,1000,,,,,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,1000,,,,,0.1983663943990665,0.07748789005980194,0.5961451217562043,13.0,674.0,0.9257787164709428,0.9881469496860876,0.8673469387755102,0.0,0.9277469442307988,56189.0,85.0
