Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,1000,mean,,,,,0.8116283562461495,0.09634706499100254,0.9056497408506441,19.6,17.8,0.8934261109754684,0.999686966920493,0.8005359719645435,4.4,0.9001114694425182,56845.2,78.8
Creditcard Fraud,K-Means,Logistic Regression,1000,std,,,,,0.0769568052389353,0.031108235397783617,0.03855290346694986,8.820430828479978,19.67739820199815,0.05080176747208012,0.0003460492447109416,0.09041475058338526,0.8944271909999159,0.045135022852623434,19.677398201998148,9.20326029187483
Creditcard Fraud,K-Means,Logistic Regression,1000,min,,,,,0.7243243243243244,0.0694826628286016,0.8619379607149638,9.0,2.0,0.8267000701609064,0.9991031074688286,0.6836734693877551,3.0,0.8416608734132557,56812.0,67.0
Creditcard Fraud,K-Means,Logistic Regression,1000,25%,,,,,0.75,0.07397705042351266,0.8747361106224271,15.0,8.0,0.8570825597257732,0.9996482774387563,0.7346938775510204,4.0,0.8672765942632614,56843.0,72.0
Creditcard Fraud,K-Means,Logistic Regression,1000,50%,,,,,0.8089887640449438,0.08299796339885646,0.9043449235894996,17.0,8.0,0.910036426732309,0.9998593109755025,0.8282828282828283,5.0,0.9140710696291654,56855.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,1000,75%,,,,,0.8677248677248677,0.111635251318698,0.9337525292596291,26.0,20.0,0.920276581665898,0.9998593109755025,0.8469387755102041,5.0,0.9234518016270399,56855.0,83.0
Creditcard Fraud,K-Means,Logistic Regression,1000,max,,,,,0.907103825136612,0.14364239698534398,0.9534771800667015,31.0,51.0,0.953034916592456,0.9999648277438756,0.9090909090909091,5.0,0.9540970082798688,56861.0,90.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,mean,0.5887337413230471,0.5896813864996767,0.001554263775431928,0.001608736815632902,0.36778047889159,20.92426755032786,0.683430178060458,61.666666666666664,43.0,0.560105281919548,0.999243796493326,0.37140108568679997,1.0,0.685322441090063,56820.0,36.666666666666664
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,std,0.002085312636118391,0.00770610306290862,7.400967735177862e-05,7.340243634777597e-05,0.30086507500904774,12.259473464767952,0.15058968010389182,36.96394639825858,8.18535277187245,0.29341672143536357,0.00014394866208026255,0.37831337307125007,0.0,0.18914337263950404,8.18535277187245,37.5410886008029
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,min,0.5873678393084689,0.580784358968812,0.0014703377083865432,0.0015263514432865726,0.1728395061728395,7.0515333762081855,0.5858307938740428,19.0,34.0,0.37779826317321613,0.9991206935968908,0.14285714285714285,1.0,0.5709889182270169,56813.0,14.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,25%,0.5875335949634741,0.5873934895108035,0.0015263047269717187,0.0015795177485088308,0.19452786119452786,16.235927814541327,0.5967145597153886,50.5,39.5,0.39086923158081216,0.9991646589170462,0.15306122448979592,1.0,0.5761613035555921,56815.5,15.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,50%,0.5876993506184794,0.5940026200527949,0.0015822717455568943,0.0016326840537310887,0.21621621621621623,25.42032225287447,0.6075983255567343,82.0,45.0,0.4039401999884082,0.9992086242372017,0.16326530612244897,1.0,0.5813336888841674,56818.0,16.0
