Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,10000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,10000,mean,,,,,0.6560978934179472,0.16688508634943533,0.8270264386038901,18.0,213.0,0.9014249654136597,0.9962541547227547,0.8168625025767884,0.9065583286497715,56650.0,80.4
Creditcard Fraud,K-Means,Logistic Regression,10000,std,,,,,0.3045629690671173,0.014714408592878694,0.15407746003491793,7.314369419163897,406.6577184807882,0.044001957738765016,0.007151534714678964,0.07498503160344476,0.040177759977368686,406.6577184807882,7.6681158050723255
Creditcard Fraud,K-Means,Logistic Regression,10000,min,,,,,0.12646793134598014,0.14682852050436068,0.5589481880724936,9.0,3.0,0.8381470318291452,0.9834866257496087,0.7142857142857143,0.8488861700176615,55924.0,70.0
Creditcard Fraud,K-Means,Logistic Regression,10000,25%,,,,,0.6896551724137931,0.15875089815070575,0.8444712697274794,14.0,18.0,0.8804911788825073,0.9987337987795227,0.7755102040816326,0.8875968268882566,56791.0,76.0
Creditcard Fraud,K-Means,Logistic Regression,10000,50%,,,,,0.7813953488372093,0.16862845624523448,0.8904910028856295,17.0,33.0,0.9100764415251934,0.9994196577739479,0.8282828282828283,0.9141150349493209,56830.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,10000,75%,,,,,0.7916666666666666,0.17537311442179515,0.8956574782379318,22.0,72.0,0.925551414535734,0.9996834496948807,0.8571428571428571,0.9282812574584025,56845.0,84.0
Creditcard Fraud,K-Means,Logistic Regression,10000,max,,,,,0.8913043478260869,0.18484444242508058,0.9455642540959166,28.0,939.0,0.9528587602957184,0.9999472416158135,0.9090909090909091,0.9539123539352159,56860.0,90.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,mean,0.5887972482491322,0.58918921808831,0.0015218984546733923,0.0016288951354894443,0.34239208048015174,19.134109917068812,0.6601574593179199,32.8,2270.4,0.7901275390193291,0.9600724548476162,0.6659863945578232,0.8130294247027197,54592.6,65.6
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,std,0.0014086546673527031,0.00555930687322351,5.002403772366423e-05,0.00010324453905586207,0.2546339475043752,3.1796124122115734,0.14453489153900814,17.767948671695333,4516.564546201017,0.08659086097804768,0.07942888251061354,0.18187867077196504,0.06451858388237504,4516.564546201017,18.22909761891685
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,min,0.5874955047236183,0.5806679193724621,0.001452599998605055,0.0014853591003377322,0.01730202490731058,17.4853130437874,0.4586679362000892,8.0,10.0,0.6545961040604825,0.8183528832456958,0.42857142857142855,0.7141977836454034,46534.0,42.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,25%,0.5876576685628682,0.5882306674768121,0.001506016164900527,0.001589928225632682,0.1273100616016427,17.53369808588201,0.5598922373029285,25.0,88.0,0.7751552079430494,0.9856848917573818,0.6020408163265306,0.800044378055814,56049.0,59.0
