Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,k
Creditcard Fraud,1,K-Means,Logistic Regression,1000,,,,,0.7586206896551724,0.47431007278855297,0.8790640654059909,11.0,45.0,0.9424359096333296,0.9992086242372017,0.8888888888888888,0.9440487565630453,56818.0,88.0,1000.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5888495426905336,0.5953847899630659,0.001384254166233965,0.004924003426725649,0.31868131868131866,2.924689405623526,0.6577001294318587,12.0,360.0,0.934464695622349,0.9936689938976135,0.8787878787878788,0.9362284363427462,56503.0,87.0,1000.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,1000,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,
Creditcard Fraud,1,SMOTE,Logistic Regression,1000,,,,,0.1445966514459665,1.0789617546935304,0.567307649939305,4.0,1120.0,0.9698944854315551,0.9803035365703533,0.9595959595959596,0.9699497480831564,55743.0,95.0,1000.0
Creditcard Fraud,2,K-Means,Logistic Regression,1000,,,,,0.8864864864864865,0.5620857810683999,0.9431509266236142,17.0,4.0,0.9100684387073692,0.9999296554877513,0.8282828282828283,0.9141062418852898,56859.0,82.0,1000.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.587867779749958,0.5941594796068385,0.0016610687297575761,0.001570586267215531,0.1881298992161254,11.616998931830459,0.5908578648260117,15.0,710.0,0.9153636100533007,0.9875138490758489,0.8484848484848485,0.9179993487803488,56153.0,84.0,1000.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,1000,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,
Creditcard Fraud,2,SMOTE,Logistic Regression,1000,,,,,0.2914572864321608,1.2012299113691949,0.643862362453332,12.0,411.0,0.9340428732556127,0.9927721013664421,0.8787878787878788,0.9357799900771605,56452.0,87.0,1000.0
Creditcard Fraud,3,K-Means,Logistic Regression,1000,,,,,0.7362637362637363,0.49221944555207786,0.8679208605707638,31.0,17.0,0.8267218852259832,0.9997010358229429,0.6836734693877551,0.8416872526053489,56846.0,67.0,1000.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,1000,,,,,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,
Creditcard Fraud,3,SMOTE,Logistic Regression,1000,,,,,0.1959378733572282,1.2713063365832777,0.5949932988840347,16.0,657.0,0.9094322345017217,0.9884459138631447,0.8367346938775511,0.912590303870348,56206.0,82.0,1000.0
Creditcard Fraud,4,K-Means,Logistic Regression,1000,,,,,0.9010989010989011,0.4638263255769104,0.9504703227140365,16.0,2.0,0.9147159471828343,0.9999648277438756,0.8367346938775511,0.9183497608107134,56861.0,82.0,1000.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,1000,,,,,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,
Creditcard Fraud,4,SMOTE,Logistic Regression,1000,,,,,0.24964539007092199,1.115676428868928,0.6224864734432972,10.0,519.0,0.9432726701200168,0.9908727995357263,0.8979591836734694,0.9444159916045978,56344.0,88.0,1000.0
Creditcard Fraud,5,K-Means,Logistic Regression,1000,,,,,0.7931034482758621,0.44944425503782304,0.8963934795973678,29.0,7.0,0.8390440740299372,0.9998768971035648,0.7040816326530612,0.8519792648783131,56856.0,69.0,1000.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5912857465947942,0.5804644263620903,0.0016445466645914084,0.0015867746240565647,0.6369426751592356,12.081468392953054,0.8182208211642001,48.0,9.0,0.7142291852086388,0.9998417248474404,0.5102040816326531,0.7550229032400466,56854.0,50.0,1000.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,1000,,,,,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,
Creditcard Fraud,5,SMOTE,Logistic Regression,1000,,,,,0.453551912568306,1.1454564548107449,0.7258953335077254,15.0,185.0,0.9187944908211618,0.9967465663084959,0.8469387755102041,0.92184267090935,56678.0,83.0,1000.0
