Dataset,Oversampling,Classifier,k,,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,200,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,200,mean,0.6391933985277716,0.8189650157130537,26.4,116.8,0.8466409478481405,0.997945940242337,0.7312925170068028,0.8646192286245699,56746.2,72.0
Creditcard Fraud,K-Means,Logistic Regression,200,std,0.24257764909837554,0.12217849065956513,19.65451602049768,227.59876976820414,0.12582375106119134,0.004002581111939287,0.2009075413454575,0.09946021029650313,227.59876976820416,19.912307751739878
Creditcard Fraud,K-Means,Logistic Regression,200,min,0.24823695345557123,0.6217645067773383,10.0,1.0,0.6388709472926973,0.9908024550234775,0.40816326530612246,0.7040728395890301,56340.0,40.0
Creditcard Fraud,K-Means,Logistic Regression,200,25%,0.5755395683453237,0.7875105187287906,11.0,2.0,0.8267073419132269,0.9993141410055748,0.6836734693877551,0.8416696664772868,56824.0,67.0
Creditcard Fraud,K-Means,Logistic Regression,200,50%,0.7282608695652174,0.8639106313747766,22.0,19.0,0.8819015940446927,0.9996658635668185,0.7777777777777778,0.8888713027608267,56844.0,77.0
Creditcard Fraud,K-Means,Logistic Regression,200,75%,0.7787610619469026,0.8891606502367628,31.0,39.0,0.9424856690949734,0.9999648277438756,0.8888888888888888,0.9441015149472318,56861.0,88.0
Creditcard Fraud,K-Means,Logistic Regression,200,max,0.8651685393258427,0.9324787714475995,58.0,523.0,0.9432391868951117,0.9999824138719379,0.8979591836734694,0.9443808193484735,56862.0,88.0
Creditcard Fraud,No Oversampling,Logistic Regression,200,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,No Oversampling,Logistic Regression,200,mean,0.6205989329129147,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8
Creditcard Fraud,No Oversampling,Logistic Regression,200,std,0.12860028894173683,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555
Creditcard Fraud,No Oversampling,Logistic Regression,200,min,0.453125,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0
Creditcard Fraud,No Oversampling,Logistic Regression,200,25%,0.5147058823529411,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,No Oversampling,Logistic Regression,200,50%,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,No Oversampling,Logistic Regression,200,75%,0.7272727272727273,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0
Creditcard Fraud,No Oversampling,Logistic Regression,200,max,0.7323943661971831,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0
Creditcard Fraud,SMOTE,Logistic Regression,200,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,200,mean,0.26562087927064393,0.6301782135847803,11.4,583.4,0.9350447989863964,0.9897402528885214,0.8840032982890126,0.9368717755887671,56279.6,87.0
Creditcard Fraud,SMOTE,Logistic Regression,200,std,0.1171448600285351,0.0599827810472188,4.774934554525329,354.3124327482737,0.023428679771296784,0.006230983816335274,0.04884751168875378,0.022138941374839165,354.31243274827375,5.1478150704935
Creditcard Fraud,SMOTE,Logistic Regression,200,min,0.14274981217129978,0.566307983630435,4.0,188.0,0.9093998732443678,0.9800045723932962,0.8367346938775511,0.9125551316142235,55726.0,82.0
Creditcard Fraud,SMOTE,Logistic Regression,200,25%,0.19500594530321047,0.5945095431630085,10.0,413.0,0.91877017433198,0.988375569350896,0.8469387755102041,0.9218162917172565,56202.0,83.0
Creditcard Fraud,SMOTE,Logistic Regression,200,50%,0.25,0.6226682153014538,12.0,518.0,0.9340263273201933,0.9908903856637884,0.8787878787878788,0.9357624039490984,56345.0,87.0
Creditcard Fraud,SMOTE,Logistic Regression,200,75%,0.2904841402337229,0.6433669322390763,15.0,661.0,0.9432810407405339,0.9927369291103177,0.8979591836734694,0.9444247846686289,56450.0,88.0
Creditcard Fraud,SMOTE,Logistic Regression,200,max,0.44986449864498645,0.7240383935899278,16.0,1137.0,0.9697465792949069,0.9966938079243093,0.9595959595959596,0.9698002659946279,56675.0,95.0
