Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
Creditcard Fraud,K-Means,Logistic Regression,0.8742212165209138,0.8761436212092836,0.9995077701990015,0.8144329896907216,0.9069703799448616
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,0.0013604678887501928,0.018454818362083823,0.0,1.0,0.5
Creditcard Fraud,No Oversampling,Logistic Regression,0.8431907017544158,0.8511679496099327,0.9998312354968005,0.5876288659793815,0.793730050738091
Creditcard Fraud,Random Clustering,Logistic Regression,0.6158389093541201,0.7303906659232219,0.992307151395823,0.8865979381443299,0.9394525447700764
Creditcard Fraud,SMOTE,Logistic Regression,0.6150197766250476,0.7300345445196432,0.9922368328528233,0.8865979381443299,0.9394173854985766
