Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,K-Means,Logistic Regression,492,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,492,mean,0.8180625554922374,0.4151567706133341,0.9088747588023992,19.6,16.0,0.8932489939612104,0.9997186219510052,0.8004947433518863,0.9001066826514457,56847.0,78.8,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,std,0.0742632941866988,0.06553109339522471,0.037200528171514556,9.423375191511798,18.069310999592652,0.05437680753918178,0.00031776921723427205,0.09660801243963621,0.04823780212648842,18.069310999592652,9.833615815151617,,0.0,0.0
Creditcard Fraud,K-Means,Logistic Regression,492,min,0.7243243243243244,0.3141266911462992,0.8619379607149638,9.0,3.0,0.8267000701609064,0.9991910381091396,0.6836734693877551,0.8416608734132557,56817.0,67.0,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,25%,0.7659574468085106,0.40202133801563456,0.8827368354467573,15.0,5.0,0.8451319599480197,0.9996482774387563,0.7142857142857143,0.8571164779507638,56843.0,70.0,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,50%,0.8187134502923976,0.43275006900289625,0.9092204626078475,15.0,6.0,0.9202442117544681,0.9998944832316269,0.8469387755102041,0.9234166293709156,56857.0,83.0,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,75%,0.8877005347593583,0.4332347669144698,0.9437579475133232,28.0,20.0,0.9210918741737043,0.9999120693596891,0.8484848484848485,0.9241984589222689,56858.0,84.0,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,max,0.8936170212765957,0.4936509879873707,0.9467205877291047,31.0,46.0,0.9530768537689533,0.9999472416158135,0.9090909090909091,0.9541409736000244,56860.0,90.0,,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,mean,0.6528925619834711,11.061868230328042,0.8260768228636566,19.0,65.0,0.8973299124397841,0.998856901675958,0.8061224489795918,0.9024896753277749,56798.0,79.0,0.5885488177937822,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,std,,,,,,,,,,,,,,
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,min,0.6528925619834711,11.061868230328042,0.8260768228636566,19.0,65.0,0.8973299124397841,0.998856901675958,0.8061224489795918,0.9024896753277749,56798.0,79.0,0.5885488177937822,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,25%,0.6528925619834711,11.061868230328042,0.8260768228636566,19.0,65.0,0.8973299124397841,0.998856901675958,0.8061224489795918,0.9024896753277749,56798.0,79.0,0.5885488177937822,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,50%,0.6528925619834711,11.061868230328042,0.8260768228636566,19.0,65.0,0.8973299124397841,0.998856901675958,0.8061224489795918,0.9024896753277749,56798.0,79.0,0.5885488177937822,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,75%,0.6528925619834711,11.061868230328042,0.8260768228636566,19.0,65.0,0.8973299124397841,0.998856901675958,0.8061224489795918,0.9024896753277749,56798.0,79.0,0.5885488177937822,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,max,0.6528925619834711,11.061868230328042,0.8260768228636566,19.0,65.0,0.8973299124397841,0.998856901675958,0.8061224489795918,0.9024896753277749,56798.0,79.0,0.5885488177937822,492.0,1000.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,count,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,mean,0.6205989329129147,,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,std,0.12860028894173683,,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,min,0.453125,,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,25%,0.5147058823529411,,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,50%,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,75%,0.7272727272727273,,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,max,0.7323943661971831,,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0,,,
Creditcard Fraud,SMOTE,Logistic Regression,492,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
Creditcard Fraud,SMOTE,Logistic Regression,492,mean,0.2683176362860184,1.1591325588563084,0.631564864335447,11.4,574.8,0.935116502190597,0.9898914935898564,0.8840032982890126,0.9369473959394344,56288.2,87.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,std,0.1173389080555095,0.07875889066294905,0.06006594998069562,4.774934554525329,351.0052706156989,0.023437157955065048,0.006172823639549423,0.04884751168875378,0.022144990204654925,351.00527061569886,5.1478150704935,,0.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,min,0.14393939393939395,1.0719713343615656,0.5669521132248923,4.0,186.0,0.909513132607551,0.9801980198019802,0.8367346938775511,0.9126782345106589,55737.0,82.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,25%,0.19830713422007254,1.1086882868317494,0.5962224030444278,10.0,407.0,0.9187863853962742,0.9886217751437666,0.8469387755102041,0.9218338778453189,56216.0,83.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,50%,0.25360230547550433,1.151424131864509,0.6245137326649787,12.0,508.0,0.9340759642471826,0.9910662469444103,0.8787878787878788,0.9358151623332849,56355.0,87.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,75%,0.2934232715008432,1.1867747465452272,0.6448630682799148,15.0,647.0,0.9433647428606454,0.9928424458786909,0.8979591836734694,0.9445127153089399,56456.0,88.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,max,0.45231607629427795,1.2768042946784908,0.7252730044630212,16.0,1126.0,0.9698422858413324,0.9967289801804337,0.9595959595959596,0.9698969896989699,56677.0,95.0,,492.0,
