Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,1,K-Means,Logistic Regression,400,0.7692307692307693,0.967721980671099,0.8843911161264266,14.0,37.0,0.9262975699816901,0.9993493132616992,0.8585858585858586,0.9289675859237789,56826.0,85.0,,400.0,3.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,400,0.015723557912057776,5.432409898992074,0.45558717585849046,13.0,10754.0,0.8392852597640098,0.8108787788192674,0.8686868686868687,0.839782823753068,46109.0,86.0,0.5886629684825954,400.0,
Creditcard Fraud,1,No Oversampling,Logistic Regression,400,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,,,
Creditcard Fraud,1,SMOTE,Logistic Regression,400,0.1442672741078208,1.0847312079534488,0.5671295076481008,4.0,1123.0,0.969868385987625,0.9802507781861668,0.9595959595959596,0.9699233688910632,55740.0,95.0,,400.0,
Creditcard Fraud,2,K-Means,Logistic Regression,400,0.8842105263157894,0.3985747143068652,0.942008546257056,15.0,7.0,0.9210756741671221,0.9998768971035648,0.8484848484848485,0.9241808727942067,56856.0,84.0,,400.0,3.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,400,0.00818926296633303,5.164159456504436,0.38554420948716894,9.0,21791.0,0.7488055236034474,0.6167806833969365,0.9090909090909091,0.7629357962439227,35072.0,90.0,0.5871252979388102,400.0,
Creditcard Fraud,2,No Oversampling,Logistic Regression,400,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,2,SMOTE,Logistic Regression,400,0.29,1.194660592336727,0.6431204334474604,12.0,414.0,0.9340180542425682,0.9927193429822556,0.8787878787878788,0.9357536108850673,56449.0,87.0,,400.0,
Creditcard Fraud,3,K-Means,Logistic Regression,400,0.6463414634146342,0.3055611153433446,0.8229158045813127,45.0,13.0,0.7353180844255892,0.9997713803351916,0.5408163265306123,0.770293853432902,56850.0,53.0,,400.0,3.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,400,0.010452734043248186,6.662307090104647,0.42842770556038595,18.0,15129.0,0.7740376347688391,0.7339394685472099,0.8163265306122449,0.7751329995797274,41734.0,80.0,0.5871126720298034,400.0,
Creditcard Fraud,3,No Oversampling,Logistic Regression,400,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,3,SMOTE,Logistic Regression,400,0.19687875150060025,1.2743888934038994,0.5954815283911405,16.0,653.0,0.909464594607573,0.9885162583753935,0.8367346938775511,0.9126254761264723,56210.0,82.0,,400.0,
Creditcard Fraud,4,K-Means,Logistic Regression,400,0.8217821782178217,0.41897012456093563,0.9107328056055695,15.0,21.0,0.9201228144444078,0.9996306913106942,0.8469387755102041,0.9232847334104493,56842.0,83.0,,400.0,3.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,400,0.00793928779918272,3.0512521519464264,0.4161834632235024,30.0,16964.0,0.697762362342762,0.7016689235531013,0.6938775510204082,0.6977732372867547,39899.0,68.0,0.5884578169591882,400.0,
Creditcard Fraud,4,No Oversampling,Logistic Regression,400,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,,,
Creditcard Fraud,4,SMOTE,Logistic Regression,400,0.25142857142857145,1.1150638480449837,0.6234002478064586,10.0,514.0,0.9433145224798246,0.9909607301760371,0.8979591836734694,0.9444599569247534,56349.0,88.0,,400.0,
Creditcard Fraud,5,K-Means,Logistic Regression,400,0.7388535031847133,0.8093021318492877,0.8692465555742492,40.0,1.0,0.7693024935467643,0.9999824138719379,0.5918367346938775,0.7959095742829077,56862.0,58.0,,400.0,3.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,400,0.001401541695865452,6.8148058751849705,0.49436715602060716,97.0,1328.0,0.09982871156326634,0.976645621933419,0.01020408163265306,0.49342485178303597,55535.0,1.0,0.5913095352551808,400.0,
Creditcard Fraud,5,No Oversampling,Logistic Regression,400,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,,,
Creditcard Fraud,5,SMOTE,Logistic Regression,400,0.45604395604395603,1.1406855640417435,0.7271501768278745,15.0,183.0,0.9188107014564273,0.9967817385646203,0.8469387755102041,0.9218602570374123,56680.0,83.0,,400.0,
