Dataset,Oversampling,Classifier,k,,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,200,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,200,mean,0.7712715691208614,0.8854555482218045,27.0,14.0,0.8465740575966916,0.9997537942071293,0.7251288394145539,0.8624413168108415,56849.0,71.4
Creditcard Fraud,K-Means,Logistic Regression,200,std,0.10494818138081839,0.052539276839720664,16.278820596099706,15.378556499229699,0.10152007971371901,0.0002704492640070031,0.16663760395260901,0.08325282820881512,15.378556499229699,16.637307474468336
Creditcard Fraud,K-Means,Logistic Regression,200,min,0.6075949367088608,0.803524974419618,12.0,1.0,0.6997803619725335,0.9993141410055748,0.4897959183673469,0.7447924424153003,56824.0,48.0
Creditcard Fraud,K-Means,Logistic Regression,200,25%,0.7547169811320755,0.8771870815842071,16.0,2.0,0.7824539161778173,0.999718621951005,0.6122448979591837,0.8061136559155608,56847.0,60.0
Creditcard Fraud,K-Means,Logistic Regression,200,50%,0.7733333333333333,0.8864423902878067,19.0,12.0,0.8989173410584853,0.9997889664632538,0.8080808080808081,0.9040228179123417,56851.0,80.0
Creditcard Fraud,K-Means,Logistic Regression,200,75%,0.8367346938775511,0.918226657914278,38.0,16.0,0.9146033321073467,0.9999648277438756,0.8367346938775511,0.9182266579142779,56861.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,200,max,0.8839779005524862,0.9418966369031125,50.0,39.0,0.9371153366672751,0.9999824138719379,0.8787878787878788,0.9390510098967269,56862.0,87.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,200,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,200,mean,0.33592525644468924,0.5672668053358828,32.8,11497.6,0.5740985658164679,0.797801733992227,0.6655328798185941,0.7316673069054105,45365.4,65.6
