Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9892754638834317,0.9894144522753814,0.9965004374453194
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9960141368401645,0.9960334725680831,0.9986818980667838
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9920140721196131,0.9920483940721441,0.9955629397197604
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9920140721196131,0.9920483940721441,0.9955629397197604
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9933568947336076,0.9933761598119653,0.996010387898569
MNIST Imbalanced 1+7,SMOTE,Gradient Boosting,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,SMOTE,Logistic Regression,0.9933568947336076,0.9933761598119653,0.996010387898569
MNIST Imbalanced 1+7,SMOTE,Random Forest,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,SMOTE,Support Vector,0.9933568947336076,0.9933761598119653,0.996010387898569
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.9898985643110694,0.990021265397546,0.9834905660377358
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9927007299270073,0.9927033087546421,0.9917447367674725
MNIST Imbalanced 7+8,K-Means,Random Forest,0.9854298030837296,0.9854399709216897,0.98355792863802
MNIST Imbalanced 7+8,K-Means,Support Vector,0.9828465697776871,0.9831963356915974,0.9723502304147466
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Gradient Boosting,0.5876567606597248,0.7223287017663832,0.9110756266437658
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Logistic Regression,0.9014503460611245,0.9064730445939398,0.8717966607131467
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Random Forest,0.6366333326784417,0.7341820871510288,0.8904008438818565
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Support Vector,0.9570457142921359,0.9588882580828116,0.9353969353969354
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.9898597804186028,0.9899229092704663,0.9852255271610111
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9912237828603967,0.9912237828603967,0.9912237828603967
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9808726117613927,0.9808958429890308,0.983744033957227
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.9897810218978103,0.9897835903301765,0.9888306973842184
MNIST Imbalanced 7+8,Random Clustering,Gradient Boosting,0.9884333958724203,0.9885237397707067,0.9829230854842749
MNIST Imbalanced 7+8,Random Clustering,Logistic Regression,0.9941719212334919,0.9941822130191127,0.9922662937537079
MNIST Imbalanced 7+8,Random Clustering,Random Forest,0.9781021897810219,0.9781047165482954,0.977174539851202
MNIST Imbalanced 7+8,Random Clustering,Support Vector,0.978598431593089,0.9790048294738709,0.9673972974194425
MNIST Imbalanced 7+8,SMOTE,Gradient Boosting,0.9913250469043152,0.9914157527642701,0.985781990521327
MNIST Imbalanced 7+8,SMOTE,Logistic Regression,0.9912578818502378,0.9912681323528929,0.989363505381812
MNIST Imbalanced 7+8,SMOTE,Random Forest,0.9838152868750246,0.9838386145020777,0.9867042475343557
MNIST Imbalanced 7+8,SMOTE,Support Vector,0.9814519740473439,0.9818599989715485,0.9701834862385321
