Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9852802905035178,0.9853856827424837,0.9915140901130394
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9906664382388214,0.990720180791395,0.9951161688003793
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9783947557314572,0.9787078194048725,0.9892459601386833
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9879566013210601,0.9880623888772693,0.9942246457570451
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Gradient Boosting,0.6592977394397116,0.687152954451485,0.647641537753407
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Logistic Regression,0.8188829787234042,0.832758661146487,0.7855366577404647
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Random Forest,0.843400094072831,0.8637476561009656,0.9434853651605569
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Support Vector,0.9249362361867659,0.9279776404858148,0.8995828245828246
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9893139593271404,0.9893915142933183,0.9946700718985093
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9893139593271404,0.9893915142933183,0.9946700718985093
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9728944435599427,0.9733207475839792,0.985560009316123
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9782355972626711,0.9788014007789421,0.9930495221546481
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.9825411303005951,0.9827160960583221,0.990605151729005
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9920140721196131,0.9920483940721441,0.9955629397197604
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.9770024523168883,0.9773706626820153,0.9887940017584422
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9865943298542896,0.9867327988179867,0.9937798871031531
MNIST Imbalanced 1+7,SMOTE,Gradient Boosting,0.9866424491589254,0.9867197156272537,0.9919694163649415
MNIST Imbalanced 1+7,SMOTE,Logistic Regression,0.9933568947336076,0.9933761598119653,0.996010387898569
MNIST Imbalanced 1+7,SMOTE,Random Forest,0.9826039796859756,0.9827089763110948,0.9888035344690336
MNIST Imbalanced 1+7,SMOTE,Support Vector,0.9906664382388214,0.990720180791395,0.9951161688003793
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.9552650705204504,0.9553818702101217,0.9493120876683976
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9720445864204971,0.9720675279655583,0.9748633932258406
MNIST Imbalanced 7+8,K-Means,Random Forest,0.960429709275858,0.9604321940931945,0.9613345338135254
MNIST Imbalanced 7+8,K-Means,Support Vector,0.9683131167763157,0.9684679383122501,0.9613573598453466
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Gradient Boosting,0.4546660769570986,0.4565465059381652,0.0
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Logistic Regression,0.8303668996312923,0.8483062603846113,0.793828841497294
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Random Forest,0.5104233641375001,0.6477609402556748,0.7957066557107642
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Support Vector,0.9034495071461461,0.9127358560417131,0.8663829146107198
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.9625518652811005,0.962705408091892,0.9556821320077327
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9719337969701871,0.9719980786064089,0.976691674733785
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9571621111650224,0.9572250281565498,0.9617715392061954
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.9778424712922529,0.9779072971339602,0.9826597289448209
MNIST Imbalanced 7+8,Random Clustering,Gradient Boosting,0.9596712395334928,0.9598241421742756,0.9528445180889258
MNIST Imbalanced 7+8,Random Clustering,Logistic Regression,0.973463580276436,0.9735046285658984,0.9772576073122758
MNIST Imbalanced 7+8,Random Clustering,Random Forest,0.9559466643800377,0.9559565815740679,0.9577502510880481
MNIST Imbalanced 7+8,Random Clustering,Support Vector,0.9669357217559196,0.9671304725981176,0.9591820824887878
MNIST Imbalanced 7+8,SMOTE,Gradient Boosting,0.9581511950030019,0.9582684887360055,0.9521602941991758
MNIST Imbalanced 7+8,SMOTE,Logistic Regression,0.9706311095866919,0.9706412407025524,0.9724927064900282
MNIST Imbalanced 7+8,SMOTE,Random Forest,0.9554191253037141,0.9555819435134837,0.9629113341042275
MNIST Imbalanced 7+8,SMOTE,Support Vector,0.9643307193218149,0.9647289623918293,0.9534663533239933
