Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
Ecoli,K-Means,Gradient Boosting,0.8024279530333397,0.8124934408811904,0.8850358024213657
Ecoli,K-Means,Logistic Regression,0.38223164840344054,0.3927341932993066,0.0
Ecoli,K-Means,Random Forest,0.7035916898930598,0.7319884632755587,0.8638754228712461
Ecoli,K-Means,Support Vector,0.38893631147152274,0.3957437806794609,0.0
Ecoli,No Clustering (=SMOTE),Gradient Boosting,0.7598202241917694,0.7801790761002592,0.8937855639169504
Ecoli,No Clustering (=SMOTE),Logistic Regression,0.3769561284486658,0.39151310445005805,0.0
Ecoli,No Clustering (=SMOTE),Random Forest,0.6696451696451696,0.6926054523600148,0.8279416478118291
Ecoli,No Clustering (=SMOTE),Support Vector,0.38269510986769245,0.3909433100920379,0.0
Ecoli,No Oversampling,Gradient Boosting,0.7787079316759682,0.793226732231203,0.8986978141245935
Ecoli,No Oversampling,Logistic Regression,0.5382182417066138,0.6128016388541458,0.0
Ecoli,No Oversampling,Random Forest,0.7922311647663759,0.7989913508073516,0.8811794260931665
Ecoli,No Oversampling,Support Vector,0.3854247054586613,0.38878154533894765,0.0
Ecoli,Random Clustering,Gradient Boosting,0.7268233715602136,0.7465645811760764,0.8757950847375033
Ecoli,Random Clustering,Logistic Regression,0.4201508613273319,0.4874267039786171,0.0
Ecoli,Random Clustering,Random Forest,0.7650997150997152,0.7791261982958642,0.8779153412771782
Ecoli,Random Clustering,Support Vector,0.3865345640124045,0.3913850549121376,0.0
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9946949395487972,0.9947034836633799,0.9964585165640574
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9892754638834317,0.9894144522753814,0.9965004374453194
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9933568947336076,0.9933761598119653,0.996010387898569
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Gradient Boosting,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Logistic Regression,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Random Forest,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Support Vector,0.9933803995672472,0.9933825233293395,0.9942547987037269
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9811640587956377,0.9813805297150865,0.9901515303966353
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9879130902081044,0.9880893801723555,0.9960664335664335
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9946949395487972,0.9947034836633799,0.9964585165640574
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.9695793412558082,0.9696406937577364,0.9651375506214216
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9808726117613927,0.9808958429890308,0.983744033957227
MNIST Imbalanced 7+8,K-Means,Random Forest,0.9763182913829695,0.976411854359231,0.9821180369934781
MNIST Imbalanced 7+8,K-Means,Support Vector,0.9741726015919565,0.9744145281557495,0.9654772239228766
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Gradient Boosting,0.9750853725070218,0.9750879103679122,0.9760189790201796
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Logistic Regression,0.9794417767106842,0.9794520357398435,0.9813381797312162
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Random Forest,0.9808726117613927,0.9808958429890308,0.983744033957227
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Support Vector,0.9728913466845794,0.973294486594272,0.9618249197812627
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.9736713485811901,0.9736713485811901,0.9736713485811901
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9778424712922529,0.9779072971339602,0.9826597289448209
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9764120713568321,0.976453292580316,0.9802296656253615
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.982309053517624,0.9823506201721357,0.9861737822515331
MNIST Imbalanced 7+8,Random Clustering,Gradient Boosting,0.9749872615341288,0.9750102997215019,0.9778236068029693
MNIST Imbalanced 7+8,Random Clustering,Logistic Regression,0.983941605839416,0.9839441534561892,0.9830026186177101
MNIST Imbalanced 7+8,Random Clustering,Random Forest,0.9822387185372271,0.9823330696772627,0.9881102806100134
MNIST Imbalanced 7+8,Random Clustering,Support Vector,0.9755611856456798,0.9757583440224985,0.967663459686517
