Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,ROC AUC Score
Ecoli,K-Means,Gradient Boosting,0.6154202581482354,0.6574666525516273,0.0
Ecoli,K-Means,Logistic Regression,0.5161431642157698,0.5239913416550183,0.0
Ecoli,K-Means,Random Forest,0.6191154524487857,0.6194916187466509,0.0
Ecoli,K-Means,Support Vector,0.3884588318085855,0.3911363411428774,0.0
Ecoli,K-Means on Autoencoder Encoding,Gradient Boosting,0.17364424349911323,0.22796831005374465,0.0
Ecoli,K-Means on Autoencoder Encoding,Logistic Regression,0.2262539701564092,0.2643470830623217,0.0
Ecoli,K-Means on Autoencoder Encoding,Random Forest,0.18981448658868016,0.3096967775621742,0.0
Ecoli,K-Means on Autoencoder Encoding,Support Vector,0.03644314868804664,0.06953033237502468,0.0
Ecoli,No Clustering (=SMOTE),Gradient Boosting,0.6354200863267648,0.6663690777584489,0.0
Ecoli,No Clustering (=SMOTE),Logistic Regression,0.558840126225571,0.5810917153535611,0.0
Ecoli,No Clustering (=SMOTE),Random Forest,0.6713972018319845,0.6968575806588294,0.0
Ecoli,No Clustering (=SMOTE),Support Vector,0.38108465083585114,0.3850178183074144,0.0
Ecoli,No Oversampling,Gradient Boosting,0.6275783040488923,0.6593899045508792,0.0
Ecoli,No Oversampling,Logistic Regression,0.6317139650472984,0.6356500584291502,0.0
Ecoli,No Oversampling,Random Forest,0.7763347763347763,0.7771547464230449,0.0
Ecoli,No Oversampling,Support Vector,0.39281761235784224,0.3945052355331161,0.0
Ecoli,Random Clustering,Gradient Boosting,0.6168889933595816,0.6396999149002285,0.0
Ecoli,Random Clustering,Logistic Regression,0.5405964682084086,0.5765073070128829,0.0
Ecoli,Random Clustering,Random Forest,0.5854082321187584,0.5961959620470132,0.0
Ecoli,Random Clustering,Support Vector,0.313578062804069,0.33800597284161876,0.0
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9960141368401645,0.9960334725680831,0.9986818980667838
MNIST Imbalanced 1+7,K-Means,Random Forest,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9973474697743987,0.9973560450826207,0.9991204925241864
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Gradient Boosting,0.9906664382388214,0.990720180791395,0.9951161688003793
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Logistic Regression,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Random Forest,0.9892754638834317,0.9894144522753814,0.9965004374453194
MNIST Imbalanced 1+7,No Clustering (=SMOTE),Support Vector,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9946760480797421,0.9947104964649496,0.9982440737489026
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.9892754638834317,0.9894144522753814,0.9965004374453194
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9919854694953553,0.9920633127461429,0.9973707274320771
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.9906329121386022,0.9907390947178557,0.9969352014010509
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9933331701705866,0.993387111590438,0.9978070175438596
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.9754679418983114,0.9755881911335293,0.9692495333838449
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9809476377994872,0.9809501968149997,0.9818927571028411
MNIST Imbalanced 7+8,K-Means,Random Forest,0.9779299366477608,0.9779530713957476,0.9807838203800981
MNIST Imbalanced 7+8,K-Means,Support Vector,0.9799876647406349,0.9803360357779826,0.9695539569650569
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Gradient Boosting,0.9810954028180576,0.9811180448259489,0.9783302063789869
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Logistic Regression,0.982378665752015,0.9823889673476129,0.9842866708116123
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Random Forest,0.9781021897810219,0.9781047165482954,0.977174539851202
MNIST Imbalanced 7+8,No Clustering (=SMOTE),Support Vector,0.978598431593089,0.9790048294738709,0.9673972974194425
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.981021897810219,0.9810244350065186,0.9800885792344561
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9851989321143559,0.9852936768402004,0.991106402418281
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9882983771471956,0.9882983771471956,0.9882983771471956
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.982378665752015,0.9823889673476129,0.9842866708116123
MNIST Imbalanced 7+8,Random Clustering,Gradient Boosting,0.981021897810219,0.9810244350065186,0.9800885792344561
MNIST Imbalanced 7+8,Random Clustering,Logistic Regression,0.9853155547933459,0.9853258989202499,0.9872351618920082
MNIST Imbalanced 7+8,Random Clustering,Random Forest,0.9838152868750246,0.9838386145020777,0.9867042475343557
MNIST Imbalanced 7+8,Random Clustering,Support Vector,0.9796017243172215,0.979611809356843,0.9777523518942284
