Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,10000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,10000,mean,,,,,0.5974506365330405,0.19431858677450897,0.7976135194831107,18.0,233.4,0.901039543437809,0.9958953977102862,0.8168212739641311,0.9063583358372087,56629.6,80.4
Creditcard Fraud,K-Means,Logistic Regression,10000,std,,,,,0.30387469115801996,0.032249484905693036,0.15352226784587017,8.12403840463596,375.97579709337674,0.048018384212204064,0.006611958515966033,0.08330008182778777,0.04359882577933001,375.97579709337674,8.502940667792526
Creditcard Fraud,K-Means,Logistic Regression,10000,min,,,,,0.13220018885741266,0.1567089165969815,0.5620287867370802,9.0,8.0,0.8385066487071753,0.9843307598965936,0.7142857142857143,0.849308237091154,55972.0,70.0
Creditcard Fraud,K-Means,Logistic Regression,10000,25%,,,,,0.46035805626598464,0.16721245163268117,0.7292497828915208,13.0,12.0,0.8629836387399427,0.9964476021314387,0.7448979591836735,0.8723434628234636,56661.0,73.0
Creditcard Fraud,K-Means,Logistic Regression,10000,50%,,,,,0.7172995780590717,0.1995016378784742,0.8583551151499563,15.0,54.0,0.9210675740569821,0.9990503490846421,0.8484848484848485,0.9241720797301756,56809.0,84.0
Creditcard Fraud,K-Means,Logistic Regression,10000,75%,,,,,0.7978142076502732,0.21379057651433886,0.898744450733409,25.0,202.0,0.9308723123829439,0.9997889664632538,0.8673469387755102,0.9331986439300761,56851.0,85.0
Creditcard Fraud,K-Means,Logistic Regression,10000,max,,,,,0.8795811518324608,0.23437935125006915,0.9396894619035867,28.0,891.0,0.9517675433020009,0.9998593109755025,0.9090909090909091,0.9527692556111739,56855.0,90.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,mean,0.5891151484146507,0.5893912741278355,0.0016268893449652988,0.001689261242860183,0.06973278205220484,20.844668006167986,0.4419447494733529,54.2,15587.4,0.4257834627573359,0.7258779874435046,0.44897959183673464,0.5874287896401196,41275.6,44.2
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,std,0.0013448278379450279,0.005764229512454565,2.960594023386789e-05,0.0001455765158222705,0.14947139026644635,7.199352400462083,0.15241021472497002,40.86196275266277,16195.344525511025,0.29793438686841844,0.28481340283683637,0.41499037748144085,0.13165615459876837,16195.344525511027,40.92309861190866
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,min,0.5878086248874208,0.5802608821215048,0.0015900047522762935,0.0015252141897893238,0.0,8.898928295563469,0.2850067150741101,7.0,0.0,0.0,0.39442168017867507,0.0,0.4175176842728678,22428.0,0.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,10000,25%,0.587961882241779,0.5888349857102962,0.001616354389375306,0.0015745112562485478,0.0010364995928037314,20.787358898892826,0.32405345734802216,21.0,124.0,0.2324723962080089,0.4728206390798938,0.0707070707070707,0.5,26886.0,7.0
