Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,10000,,,,,0.46035805626598464,0.1995016378784742,0.7292497828915208,9.0,202.0,0.9517675433020009,0.9964476021314387,0.9090909090909091,0.9527692556111739,56661.0,90.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5894528246634321,0.5888349857102962,0.001616354389375306,0.0018925894927834758,0.006099177936886768,27.289830531319005,0.32405345734802216,7.0,29977.0,0.6628641465041758,0.4728206390798938,0.9292929292929293,0.7010567841864115,26886.0,92.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,10000,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,10000,,,,,0.14328808446455504,1.0887374279272777,0.5665995476586617,4.0,1132.0,0.9697900834414322,0.9800925030336071,0.9595959595959596,0.9698442313147834,55731.0,95.0
Creditcard Fraud,2,K-Means,Logistic Regression,10000,,,,,0.8795811518324608,0.21379057651433886,0.9396894619035867,15.0,8.0,0.9210675740569821,0.9998593109755025,0.8484848484848485,0.9241720797301756,56855.0,84.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.587961882241779,0.5941620821476669,0.0016702383145960089,0.0015745112562485478,0.0010364995928037314,20.787358898892826,0.43333341057595115,92.0,13401.0,0.2324723962080089,0.7643282978386648,0.0707070707070707,0.4175176842728678,43462.0,7.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,10000,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,10000,,,,,0.3,1.1992885972628708,0.6482089920948617,12.0,394.0,0.9341835018745462,0.9930710655434993,0.8787878787878788,0.9359294721656891,56469.0,87.0
Creditcard Fraud,3,K-Means,Logistic Regression,10000,,,,,0.13220018885741266,0.16721245163268117,0.5620287867370802,28.0,891.0,0.8385066487071753,0.9843307598965936,0.7142857142857143,0.849308237091154,55972.0,70.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5878086248874208,0.5945314055676938,0.0016203464541765542,0.0017428219837563963,0.00444958104594048,8.898928295563469,0.2850067150741101,21.0,34435.0,0.5566890951975044,0.39442168017867507,0.7857142857142857,0.5900679829464803,22428.0,77.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,10000,,,,,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,10000,,,,,0.1987878787878788,1.26900256688951,0.5964716691303603,16.0,645.0,0.9095293113652587,0.988656947399891,0.8367346938775511,0.912695820638721,56218.0,82.0
Creditcard Fraud,4,K-Means,Logistic Regression,10000,,,,,0.7172995780590717,0.1567089165969815,0.8583551151499563,13.0,54.0,0.9308723123829439,0.9990503490846421,0.8673469387755102,0.9331986439300761,56809.0,85.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5892192534531752,0.589167015092016,0.0016375028144023313,0.0017111692917231702,0.0,25.577267772796564,0.49956951082372786,98.0,0.0,0.0,1.0,0.0,0.5,56863.0,0.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,10000,,,,,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,10000,,,,,0.25106990014265335,1.1170019764242145,0.6232164755833783,10.0,515.0,0.9433061521564146,0.990943144047975,0.8979591836734694,0.9444511638607223,56348.0,88.0
Creditcard Fraud,5,K-Means,Logistic Regression,10000,,,,,0.7978142076502732,0.23437935125006915,0.898744450733409,25.0,12.0,0.8629836387399427,0.9997889664632538,0.7448979591836735,0.8723434628234636,56851.0,73.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,10000,0.5911331568274466,0.5802608821215048,0.0015900047522762935,0.0015252141897893238,0.33707865168539325,21.669954532268076,0.6677606535449534,53.0,124.0,0.6768916758769908,0.9978193201202891,0.45918367346938777,0.7285014967948384,56739.0,45.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,10000,,,,,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,10000,,,,,0.44623655913978494,1.14597422152094,0.7222111901819577,15.0,191.0,0.9187458571992128,0.9966410495401228,0.8469387755102041,0.9217899125251634,56672.0,83.0
