Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,K-Means,Logistic Regression,492,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,492,mean,0.7944455090907032,0.5112255721505932,0.8970477744140813,21.6,18.2,0.8817937469703863,0.9996799324692682,0.7802308802308803,0.8899554063500743,56844.8,76.8,,492.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,492,std,0.062180213962449785,0.12775967290066745,0.031141405378643926,9.396807968666806,14.060583202698245,0.05490579755159141,0.00024727121683165633,0.0963404153285403,0.04811048825193164,14.060583202698243,9.731392500562292,,0.0,0.0
Creditcard Fraud,K-Means,Logistic Regression,492,min,0.7243243243243244,0.3703340801637256,0.8619379607149638,12.0,2.0,0.8205868596833676,0.9993141410055748,0.673469387755102,0.8366555563012712,56824.0,66.0,,492.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,492,25%,0.7630057803468208,0.3856886017390204,0.881322668808827,14.0,9.0,0.8267000701609064,0.9996306913106942,0.6836734693877551,0.8416608734132557,56842.0,67.0,,492.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,492,50%,0.7733333333333333,0.5568777064993036,0.8864423902878067,19.0,20.0,0.8989173410584853,0.9996482774387563,0.8080808080808081,0.9040228179123417,56843.0,80.0,,492.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,492,75%,0.8275862068965517,0.5814579038457279,0.9136392153556969,31.0,21.0,0.9256491272818971,0.9998417248474404,0.8571428571428571,0.9283867742267757,56854.0,84.0,,492.0,3.0
Creditcard Fraud,K-Means,Logistic Regression,492,max,0.8839779005524862,0.6617695685051883,0.9418966369031125,32.0,39.0,0.9371153366672751,0.9999648277438756,0.8787878787878788,0.9390510098967269,56861.0,87.0,,492.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,mean,0.007708471140678021,4.985666675434053,0.3660538454862018,11.0,24167.0,0.713041062077646,0.574996043121186,0.8877551020408163,0.7313755725810013,32696.0,87.0,0.5881897394477761,492.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,std,0.0032514797054403423,0.9555717963122197,0.06178337427915316,7.0710678118654755,8444.26918092975,0.121536850578258,0.14850199920738885,0.07215375318230077,0.11032787619484485,8444.26918092975,7.0710678118654755,0.000696735154283998,0.0,0.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,min,0.005409327792070717,4.309975378351072,0.3223664025688261,6.0,18196.0,0.6271015308697035,0.46998927246188205,0.8367346938775511,0.6533619831697166,26725.0,82.0,0.5876970732954908,492.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,25%,0.00655889946637437,4.647821026892562,0.34421012402751394,8.5,21181.5,0.6700712964736748,0.5224926577915341,0.8622448979591838,0.6923687778753589,29710.5,84.5,0.5879434063716334,492.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,50%,0.007708471140678021,4.985666675434053,0.3660538454862018,11.0,24167.0,0.713041062077646,0.574996043121186,0.8877551020408163,0.7313755725810013,32696.0,87.0,0.5881897394477761,492.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,75%,0.008858042814981674,5.323512323975543,0.38789756694488964,13.5,27152.5,0.7560108276816171,0.627499428450838,0.9132653061224489,0.7703823672866437,35681.5,89.5,0.5884360725239187,492.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,max,0.010007614489285326,5.661357972517034,0.40974128840357754,16.0,30138.0,0.7989805932855883,0.68000281378049,0.9387755102040817,0.8093891619922859,38667.0,92.0,0.5886824056000614,492.0,3.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,count,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,mean,0.6205989329129147,,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,std,0.12860028894173683,,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,min,0.453125,,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,25%,0.5147058823529411,,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,50%,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,75%,0.7272727272727273,,0.8634517774609892,63.0,3.0,0.7559289460184544,0.9999824138719379,0.5714285714285714,0.7857142857142857,56862.0,56.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,max,0.7323943661971831,,0.8659465477159108,69.0,36.0,0.8873443420326675,1.0,0.7878787878787878,0.8936228436342746,56863.0,78.0,,,
Creditcard Fraud,SMOTE,Logistic Regression,492,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
Creditcard Fraud,SMOTE,Logistic Regression,492,mean,0.2672067108202057,1.1647710649708953,0.6309889232046818,11.4,579.4,0.9350794894800731,0.9898105974007703,0.8840032982890126,0.9369069478448914,56283.6,87.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,std,0.11733368612484478,0.06662752609169294,0.06008231293720603,4.774934554525329,353.1533661173287,0.023499429997954915,0.0062106003221309046,0.04884751168875378,0.022212859628714537,353.1533661173287,5.1478150704935,,0.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,min,0.14393939393939395,1.0930839293174177,0.5669521132248923,4.0,189.0,0.9092865997737698,0.9801980198019802,0.8367346938775511,0.9124320287177883,55737.0,82.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,25%,0.19181286549707602,1.124180128290897,0.5928507224174954,10.0,395.0,0.9187620686925697,0.9881293635580254,0.8469387755102041,0.9218074986532256,56188.0,83.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,50%,0.2521489971346705,1.1431247858449067,0.623769333584646,12.0,512.0,0.9341752301888626,0.9909959024321615,0.8787878787878788,0.935920679101658,56351.0,87.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,75%,0.29948364888123924,1.2040401728250938,0.6479463893453778,15.0,675.0,0.9433312629038311,0.9930534794154371,0.8979591836734694,0.9444775430528154,56468.0,88.0,,492.0,
Creditcard Fraud,SMOTE,Logistic Regression,492,max,0.4486486486486487,1.2594263085761614,0.7234260574509976,16.0,1126.0,0.9698422858413324,0.9966762217962472,0.9595959595959596,0.9698969896989699,56674.0,95.0,,492.0,
