Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,1000,mean,,,,,0.8089840996063637,0.1385134473944949,0.9043249752559397,19.6,18.4,0.8936570600223112,0.9996764152436558,0.8005772005772005,3.4,0.9001268079104282,56844.6,78.8
Creditcard Fraud,K-Means,Logistic Regression,1000,std,,,,,0.08245730940128686,0.132184573156858,0.04130580049352248,7.92464510246358,18.008331405213532,0.04597761550971834,0.0003166968222783459,0.0813179319870213,1.140175425099138,0.04062811815018443,18.008331405213536,8.28854631404084
Creditcard Fraud,K-Means,Logistic Regression,1000,min,,,,,0.7243243243243244,0.06406480500621425,0.8619379607149638,11.0,2.0,0.8267000701609064,0.9991734519810773,0.6836734693877551,2.0,0.8416608734132557,56816.0,67.0
Creditcard Fraud,K-Means,Logistic Regression,1000,25%,,,,,0.7521367521367521,0.07772435664256117,0.8758132964659484,15.0,4.0,0.8688208870151086,0.9996482774387563,0.7551020408163265,3.0,0.8773839521915725,56843.0,74.0
Creditcard Fraud,K-Means,Logistic Regression,1000,50%,,,,,0.774869109947644,0.08352244227800565,0.8872455124084704,17.0,19.0,0.9100684387073692,0.9996658635668185,0.8282828282828283,3.0,0.9141062418852898,56844.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,1000,75%,,,,,0.8864864864864865,0.09302974658295105,0.9431509266236142,24.0,20.0,0.920276581665898,0.9999296554877513,0.8469387755102041,4.0,0.9234518016270399,56859.0,83.0
Creditcard Fraud,K-Means,Logistic Regression,1000,max,,,,,0.907103825136612,0.37422588646274235,0.9534771800667015,31.0,47.0,0.9424193225622739,0.9999648277438756,0.8888888888888888,5.0,0.9440311704349831,56861.0,88.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,mean,0.5891871513110076,0.5879609330635,0.0015593842356896182,0.0016634577307155201,0.2722728807835191,24.47704111399592,0.6356896327841107,73.0,28.666666666666668,0.40291219252484983,0.999495864328884,0.25510204081632654,1.0,0.6272989525726054,56834.333333333336,25.0
