Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,1000,,,,,0.7521367521367521,0.07772435664256117,0.8758132964659484,11.0,47.0,0.9424193225622739,0.9991734519810773,0.8888888888888888,3.0,0.9440311704349831,56816.0,88.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5891767284076396,0.5881022135112515,0.0015473563012919022,0.00176956300427951,0.7323943661971831,0.06576840188705635,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,1.0,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,1000,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,1000,,,,,0.05675833820947923,0.083278023506006,0.5137917258889867,2.0,3222.0,0.9613949096206916,0.9433374953836414,0.9797979797979798,0.0,0.9615677375908105,53641.0,97.0
Creditcard Fraud,2,K-Means,Logistic Regression,1000,,,,,0.8864864864864865,0.09302974658295105,0.9431509266236142,17.0,4.0,0.9100684387073692,0.9999296554877513,0.8282828282828283,4.0,0.9141062418852898,56859.0,82.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5878145125220481,0.5940719096455772,0.0016438514108380626,0.0015355492203822266,0.16729323308270677,0.08502725857499893,0.5797213994582415,10.0,876.0,0.9408190881803169,0.9845945518175263,0.898989898989899,0.0,0.9417922254037127,55987.0,89.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,1000,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,1000,,,,,0.1668228678537957,0.08485224921004342,0.5794728213463756,10.0,879.0,0.9407938814798766,0.9845417934333398,0.898989898989899,0.0,0.9417658462116194,55984.0,89.0
Creditcard Fraud,3,K-Means,Logistic Regression,1000,,,,,0.7243243243243244,0.06406480500621425,0.8619379607149638,31.0,20.0,0.8267000701609064,0.9996482774387563,0.6836734693877551,2.0,0.8416608734132557,56843.0,67.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5874773565033538,0.5943261178350041,0.0015220461538132748,0.0016731677051190664,0.3120567375886525,23.347519410496286,0.6556021113348207,76.0,21.0,0.47371604351771135,0.9996306913106942,0.22448979591836735,1.0,0.6120602436145308,56842.0,22.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.587540677243429,0.5943947337328832,0.001544864612794502,0.0016883176540075488,0.5714285714285714,0.058425468999956376,0.7854506236236211,58.0,2.0,0.6388653295360569,0.9999648277438756,0.40816326530612246,1.0,0.704064046524999,56861.0,40.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,1000,,,,,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,,0.6785450493793352,56860.0,35.0
