Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,3,SMOTE,Logistic Regression,1000,,,,,0.09988109393579073,0.07904702902885585,0.543196070845301,14.0,1500.0,0.9135272962878042,0.9736208079067232,0.8571428571428571,0.0,0.9153818325247902,55363.0,84.0
Creditcard Fraud,4,K-Means,Logistic Regression,1000,,,,,0.907103825136612,0.37422588646274235,0.9534771800667015,15.0,2.0,0.920276581665898,0.9999648277438756,0.8469387755102041,5.0,0.9234518016270399,56861.0,83.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5889693473335602,0.5888885132824152,0.0015646793849290325,0.0016526938734051293,0.5047619047619047,23.65214215484317,0.7519236567569197,45.0,59.0,0.7350205340568381,0.9989624184443311,0.5408163265306123,1.0,0.7698893724874718,56804.0,53.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5889452321318246,0.5888799982418248,0.0015591866858365726,0.0016614761053795897,0.875,0.059324252752479545,0.9374032933026217,21.0,1.0,0.8863974661754381,0.9999824138719379,0.7857142857142857,2.0,0.8928483497931117,56862.0,77.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,1000,,,,,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,1000,,,,,0.08823529411764706,0.07137448215071007,0.5358053179978485,8.0,1852.0,0.9425797436875852,0.9674304908288343,0.9183673469387755,0.0,0.942898918883805,55011.0,90.0
Creditcard Fraud,5,K-Means,Logistic Regression,1000,,,,,0.774869109947644,0.08352244227800565,0.8872455124084704,24.0,19.0,0.8688208870151086,0.9996658635668185,0.7551020408163265,3.0,0.8773839521915725,56844.0,74.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.591114750096109,0.5806681680730805,0.0015914271683265477,0.001664511613622364,0.0,26.4314617766483,0.4995431302605915,98.0,6.0,0.0,0.9998944832316269,0.0,1.0,0.49994724161581344,56857.0,0.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5913420336550763,0.5803527631905053,0.0016604644157351253,0.0015627787829066075,0.6438356164383562,0.07883709087261881,0.8216892890235656,51.0,1.0,0.692519604467076,0.9999824138719379,0.47959183673469385,4.0,0.7397871253033159,56862.0,47.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,1000,,,,,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,1000,,,,,0.19495412844036697,0.07847680138266533,0.5943722433444649,13.0,689.0,0.9256551370545574,0.9878831577651549,0.8673469387755102,0.0,0.9276150482703325,56174.0,85.0
