Dataset,Oversampling,Classifier,k,,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,K-Means,Logistic Regression,492,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,492,mean,0.8020585401257945,0.5230188013612946,0.9008657269652289,23.2,14.0,0.8718562749873604,0.9997537942071295,0.7638837353123067,0.8818187647597181,56849.0,75.2,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,std,0.07127122385402435,0.09101724033984736,0.03569422119642496,11.233877335986893,17.277152543170995,0.06658820900555128,0.00030383821717411215,0.11512470439074694,0.05748048113046562,17.277152543170995,11.606032913963324,,0.0,0.0
Creditcard Fraud,K-Means,Logistic Regression,492,min,0.7262569832402235,0.439113636052646,0.8629130937494736,11.0,1.0,0.7889474210138274,0.9992437964933261,0.6224489795918368,0.8112156967318873,56820.0,61.0,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,25%,0.7625,0.46610303153551413,0.8810829846521686,16.0,2.0,0.814296431175187,0.999718621951005,0.6632653061224489,0.831491964036727,56847.0,65.0,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,50%,0.7652173913043478,0.47169823945497624,0.8823712161018019,19.0,8.0,0.8989173410584853,0.9998593109755025,0.8080808080808081,0.9040228179123417,56855.0,80.0,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,75%,0.8723404255319149,0.5893902820532926,0.9360647034195878,33.0,16.0,0.9146676852768475,0.9999648277438756,0.8367346938775511,0.9182970024265268,56861.0,82.0,,492.0,1000.0
Creditcard Fraud,K-Means,Logistic Regression,492,max,0.8839779005524862,0.6487888177100443,0.9418966369031125,37.0,43.0,0.9424524964124545,0.9999824138719379,0.8888888888888888,0.9440663426911073,56862.0,88.0,,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,mean,0.4923073174913521,4.421792420599439,0.6839831263126598,49.0,10282.333333333334,0.61988746899746,0.8191735692219311,0.5036075036075036,0.6613905364147173,46580.666666666664,49.666666666666664,0.5890567125124693,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,std,0.42674094310992733,1.8345374102141265,0.32055370134187966,40.95119045888654,17770.563309398305,0.4028227164730722,0.3125154020962367,0.4132857907442728,0.35642630977556083,17770.56330939831,40.86971168644738,0.0014902097158575513,0.0,0.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,min,0.00038826155887015885,2.569188876340578,0.3141177849707453,12.0,3.0,0.166662803002839,0.45831208342859153,0.06060606060606061,0.25945907201732604,26061.0,6.0,0.5878261927983454,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,25%,0.35688202886860704,3.513831858851746,0.5853039534712411,27.0,22.5,0.4612859039816998,0.7287867330249899,0.316017316017316,0.5225734892697592,41441.0,31.0,0.588228244095993,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,50%,0.7133757961783439,4.458474841362914,0.8564901219717369,42.0,42.0,0.7559090049605606,0.9992613826213882,0.5714285714285714,0.7856879065221924,56821.0,56.0,0.5886302953936406,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,75%,0.738266845457593,5.34809419272887,0.8689157969836169,67.5,15422.0,0.8464998019947703,0.9996043121186009,0.725108225108225,0.862356268613413,56840.5,71.5,0.5896719723695312,492.0,1000.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,492,max,0.7631578947368421,6.2377135440948255,0.8813414719954968,93.0,30802.0,0.9370905990289801,0.9999472416158135,0.8787878787878788,0.9390246307046335,56860.0,87.0,0.5907136493454218,492.0,1000.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,count,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
Creditcard Fraud,No Oversampling,Logistic Regression,492,mean,0.6205989329129147,,0.8100498356423815,48.6,8.2,0.7005170178594566,0.9998557937498902,0.5055040197897341,0.752679906769812,56854.8,49.8,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,std,0.12860028894173683,,0.0643442576868226,18.902380802428038,15.578831791889918,0.135432386262344,0.00027397133095144574,0.1937213273110949,0.09675266613005051,15.578831791889916,19.279522815671555,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,min,0.453125,,0.7262549266657293,21.0,0.0,0.5439790099706372,0.9993668993897613,0.29591836734693877,0.6479503906094383,56827.0,29.0,,,
Creditcard Fraud,No Oversampling,Logistic Regression,492,25%,0.5147058823529411,,0.7570629230723103,42.0,1.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
