Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,1,K-Means,Logistic Regression,492,0.7652173913043478,0.47169823945497624,0.8823712161018019,11.0,43.0,0.9424524964124545,0.9992437964933261,0.8888888888888888,0.9440663426911073,56820.0,88.0,,492.0,1000.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,492,0.7631578947368421,2.569188876340578,0.8813414719954968,12.0,42.0,0.9370905990289801,0.9992613826213882,0.8787878787878788,0.9390246307046335,56821.0,87.0,0.5886302953936406,492.0,1000.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,492,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,,,
Creditcard Fraud,1,SMOTE,Logistic Regression,492,0.14221556886227546,1.084678077464274,0.5660184321022927,4.0,1142.0,0.9697030731966388,0.9799166417529852,0.9595959595959596,0.9697563006744724,55721.0,95.0,,492.0,
Creditcard Fraud,2,K-Means,Logistic Regression,492,0.8839779005524862,0.439113636052646,0.9418966369031125,19.0,2.0,0.8989173410584853,0.9999648277438756,0.8080808080808081,0.9040228179123417,56861.0,80.0,,492.0,1000.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,492,0.00038826155887015885,6.2377135440948255,0.3141177849707453,93.0,30802.0,0.166662803002839,0.45831208342859153,0.06060606060606061,0.25945907201732604,26061.0,6.0,0.5878261927983454,492.0,1000.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,492,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,2,SMOTE,Logistic Regression,492,0.29692832764505117,1.1961743943839753,0.6466465916049111,12.0,400.0,0.9341338706617672,0.9929655487751262,0.8787878787878788,0.9358767137815025,56463.0,87.0,,492.0,
Creditcard Fraud,3,K-Means,Logistic Regression,492,0.7262569832402235,0.6487888177100443,0.8629130937494736,33.0,16.0,0.814296431175187,0.999718621951005,0.6632653061224489,0.831491964036727,56847.0,65.0,,492.0,1000.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,492,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,3,SMOTE,Logistic Regression,492,0.1940828402366864,1.2707908540970259,0.5940301976769979,16.0,665.0,0.9093675108353881,0.9883052248386472,0.8367346938775511,0.912519959358099,56198.0,82.0,,492.0,
Creditcard Fraud,4,K-Means,Logistic Regression,492,0.8723404255319149,0.46610303153551413,0.9360647034195878,16.0,8.0,0.9146676852768475,0.9998593109755025,0.8367346938775511,0.9182970024265268,56855.0,82.0,,492.0,1000.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,492,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,,,
Creditcard Fraud,4,SMOTE,Logistic Regression,492,0.2503556187766714,1.1235099107052227,0.6228504615050299,10.0,517.0,0.9432894112867712,0.9909079717918506,0.8979591836734694,0.94443357773266,56346.0,88.0,,492.0,
Creditcard Fraud,5,K-Means,Logistic Regression,492,0.7625,0.5893902820532926,0.8810829846521686,37.0,1.0,0.7889474210138274,0.9999824138719379,0.6224489795918368,0.8112156967318873,56862.0,61.0,,492.0,1000.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,492,0.7133757961783439,4.458474841362914,0.8564901219717369,42.0,3.0,0.7559090049605606,0.9999472416158135,0.5714285714285714,0.7856879065221924,56860.0,56.0,0.5907136493454218,492.0,1000.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,492,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,,,
Creditcard Fraud,5,SMOTE,Logistic Regression,492,0.45108695652173914,1.141831043784891,0.7246540335913731,15.0,187.0,0.918778279899881,0.9967113940523715,0.8469387755102041,0.9218250847812878,56676.0,83.0,,492.0,
