Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,k
Creditcard Fraud,1,K-Means,Logistic Regression,100,,,,,0.7665198237885462,0.6358431796696706,0.8830268362634297,12.0,41.0,0.9370988449809703,0.9992789687494504,0.8787878787878788,0.9390334237686646,56822.0,87.0,100.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,100,0.5887534432585525,0.5943353397952285,0.0013701639191518464,0.0044792497596916865,0.7264150943396226,2.3867036904032135,0.8629525169179469,22.0,36.0,0.8816378883600889,0.9993668993897613,0.7777777777777778,0.8885723385837696,56827.0,77.0,100.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,100,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,
Creditcard Fraud,1,SMOTE,Logistic Regression,100,,,,,0.1462663587374904,1.078741326661925,0.5682097609447718,4.0,1105.0,0.9700249721177502,0.980567328491286,0.9595959595959596,0.9700816440436226,55758.0,95.0,100.0
Creditcard Fraud,2,K-Means,Logistic Regression,100,,,,,0.8323699421965318,0.9226559473913265,0.9160574996914213,27.0,2.0,0.8527878677901622,0.9999648277438756,0.7272727272727273,0.8636187775083014,56861.0,72.0,100.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,100,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,
Creditcard Fraud,2,SMOTE,Logistic Regression,100,,,,,0.29642248722316866,1.194558874195395,0.6463892437351098,12.0,401.0,0.9341255985365989,0.992947962647064,0.8787878787878788,0.9358679207174714,56462.0,87.0,100.0
Creditcard Fraud,3,K-Means,Logistic Regression,100,,,,,0.6746987951807228,0.8156706532329028,0.8371120474725655,42.0,12.0,0.7558491786303303,0.9997889664632538,0.5714285714285714,0.7856087689459126,56851.0,56.0,100.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,100,,,,,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,
Creditcard Fraud,3,SMOTE,Logistic Regression,100,,,,,0.19854721549636803,1.2766471318525374,0.5963468906229099,16.0,646.0,0.9095212220223788,0.9886393612718288,0.8367346938775511,0.91268702757469,56217.0,82.0,100.0
Creditcard Fraud,4,K-Means,Logistic Regression,100,,,,,0.875,0.7162003086743196,0.9374032933026217,21.0,1.0,0.8863974661754381,0.9999824138719379,0.7857142857142857,0.8928483497931117,56862.0,77.0,100.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,100,,,,,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,
Creditcard Fraud,4,SMOTE,Logistic Regression,100,,,,,0.25360230547550433,1.1261233003249327,0.6245137326649787,10.0,508.0,0.9433647428606454,0.9910662469444103,0.8979591836734694,0.9445127153089399,56355.0,88.0,100.0
Creditcard Fraud,5,K-Means,Logistic Regression,100,,,,,0.7547169811320755,0.8224519125337615,0.8771870815842071,38.0,1.0,0.7824539161778173,0.9999824138719379,0.6122448979591837,0.8061136559155608,56862.0,60.0,100.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,100,,,,,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,
Creditcard Fraud,5,SMOTE,Logistic Regression,100,,,,,0.4486486486486487,1.146715663428477,0.7234260574509976,15.0,189.0,0.9187620686925697,0.9966762217962472,0.8469387755102041,0.9218074986532256,56674.0,83.0,100.0
