Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
Creditcard Fraud,K-Means,Logistic Regression,0.8713542193641837,0.8743880426289315,0.9992542458737284,0.8270676691729323,0.9131609575233304
Creditcard Fraud,No Oversampling,Logistic Regression,0.8283818006745738,0.8456101921725601,0.9998592916742883,0.5263157894736842,0.7630875405739863
Creditcard Fraud,Random Clustering,Logistic Regression,0.8819098227701984,0.8839017744106112,0.9997326541811479,0.706766917293233,0.8532497857371903
Creditcard Fraud,SMOTE,Logistic Regression,0.6341791925109279,0.7314138231315364,0.9917967046110119,0.849624060150376,0.9207103823806939
