Dataset,Fold,Oversampling,Classifier,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
Creditcard Fraud,1,No Oversampling,Logistic Regression,0.8659465477159108,0.8673865603188954,0.9993668993897613,0.7878787878787878,0.8936228436342746
Creditcard Fraud,1,SMOTE,Logistic Regression,0.5655592795387829,0.7223601740639649,0.9797759527284877,0.9595959595959596,0.9696859561622236
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,0.898853790955606,0.8995737108595682,0.9995427606703832,0.8383838383838383,0.9189632995271106
Creditcard Fraud,2,No Oversampling,Logistic Regression,0.8375330032969681,0.866004149395323,0.9999824138719379,0.5151515151515151,0.7575669645117264
Creditcard Fraud,2,SMOTE,Logistic Regression,0.6484724865643593,0.7434306386963242,0.9930886516715615,0.8787878787878788,0.9359382652297201
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,0.854061532549053,0.8581590097247846,0.9997362080790673,0.6326530612244898,0.8161946346517785
Creditcard Fraud,3,No Oversampling,Logistic Regression,0.7570629230723103,0.80708418626003,0.9999472416158135,0.35714285714285715,0.6785450493793352
Creditcard Fraud,3,SMOTE,Logistic Regression,0.5929674741750399,0.7110378063736795,0.9881469496860876,0.8367346938775511,0.9124408217818194
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,0.8330915899680899,0.842802262133909,0.9997889664632538,0.5612244897959183,0.7805067281295861
Creditcard Fraud,4,No Oversampling,Logistic Regression,0.8634517774609892,0.8862416875596063,1.0,0.5714285714285714,0.7857142857142857
Creditcard Fraud,4,SMOTE,Logistic Regression,0.6224864734432972,0.7352432882855086,0.9908727995357263,0.8979591836734694,0.9444159916045978
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,0.8084743334145226,0.8356446782066386,0.9999120693596891,0.46938775510204084,0.734649912230865
Creditcard Fraud,5,No Oversampling,Logistic Regression,0.7262549266657293,0.7979715293247197,0.9999824138719379,0.29591836734693877,0.6479503906094383
Creditcard Fraud,5,SMOTE,Logistic Regression,0.7252730044630212,0.7765378247031195,0.9967289801804337,0.8469387755102041,0.9218338778453189
