Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,1000,mean,,,,,0.8016596130476279,0.08397397266770579,0.900658336282309,21.6,17.4,0.8820267991766733,0.999694001371718,0.7802927231498661,3.8,0.889993362260792,56845.6,76.8
Creditcard Fraud,K-Means,Logistic Regression,1000,std,,,,,0.06890505685897376,0.025019015118442893,0.03452508702514965,8.848728722251575,21.454603235669495,0.050821655718619976,0.000377303400025837,0.09046958299513055,0.4472135954999579,0.04512169304348416,21.4546032356695,9.121403400793104
Creditcard Fraud,K-Means,Logistic Regression,1000,min,,,,,0.7282608695652174,0.061743345893683355,0.8639106313747766,10.0,2.0,0.8267073419132269,0.9990503490846421,0.6836734693877551,3.0,0.8416696664772868,56809.0,67.0
Creditcard Fraud,K-Means,Logistic Regression,1000,25%,,,,,0.7355371900826446,0.06443464388752318,0.8674871080864834,15.0,5.0,0.8451170964342706,0.9996658635668185,0.7142857142857143,4.0,0.8570988918227017,56844.0,70.0
Creditcard Fraud,K-Means,Logistic Regression,1000,50%,,,,,0.8092485549132948,0.07205135937420337,0.904479221236373,24.0,7.0,0.8703729728841415,0.9998768971035648,0.7575757575757576,4.0,0.8787702926598167,56856.0,75.0
Creditcard Fraud,K-Means,Logistic Regression,1000,75%,,,,,0.8522727272727273,0.10611793577319784,0.9260220759126234,28.0,19.0,0.9202361190986993,0.9999120693596891,0.8469387755102041,4.0,0.9234078363068845,56858.0,83.0
Creditcard Fraud,K-Means,Logistic Regression,1000,max,,,,,0.8829787234042553,0.1155225784099212,0.9413926448012889,31.0,54.0,0.9477004655530278,0.9999648277438756,0.898989898989899,4.0,0.9490201240372705,56861.0,89.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,mean,0.5923041552658306,0.5926336179690896,0.0029243606852016593,0.0030660136374412858,0.38600626041998376,24.995917246128535,0.6890104409541621,33.4,847.8,0.7968414533585999,0.9850904806288799,0.6597608740465882,3.8,0.8224256773377341,56015.2,65.0
