Dataset,Oversampling,Classifier,k,,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,200,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,200,mean,0.774695410746366,0.8871745098250919,28.6,10.8,0.8369652268355289,0.9998100698169283,0.7088641517212946,0.8543371107691116,56852.2,69.8
Creditcard Fraud,K-Means,Logistic Regression,200,std,0.1182643465466243,0.059209123498618454,16.056151469141042,15.319921670818035,0.10129133309616792,0.0002694181044056472,0.16444418623566123,0.08218122666594724,15.319921670818033,16.42254547870092
Creditcard Fraud,K-Means,Logistic Regression,200,min,0.5987261146496815,0.7990861707604316,14.0,1.0,0.6924526169877568,0.9993493132616992,0.47959183673469385,0.7396904015989738,56826.0,47.0
Creditcard Fraud,K-Means,Logistic Regression,200,25%,0.7388535031847133,0.8692465555742492,18.0,2.0,0.7693024935467643,0.9997889664632538,0.5918367346938775,0.7959095742829077,56851.0,58.0
Creditcard Fraud,K-Means,Logistic Regression,200,50%,0.7692307692307693,0.8843911161264266,20.0,2.0,0.893281440101585,0.9999648277438756,0.797979797979798,0.8989723128618368,56861.0,79.0
Creditcard Fraud,K-Means,Logistic Regression,200,75%,0.8777777777777778,0.9387921804910833,40.0,12.0,0.9034920135598483,0.9999648277438756,0.8163265306122449,0.9081456791780602,56861.0,80.0
Creditcard Fraud,K-Means,Logistic Regression,200,max,0.8888888888888888,0.9443565261732694,51.0,37.0,0.9262975699816901,0.9999824138719379,0.8585858585858586,0.9289675859237789,56862.0,85.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,200,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,200,mean,0.6189879322393339,0.8069787488647469,28.6,531.2,0.8341158439518239,0.9906582487733676,0.7092145949288806,0.8499364218511241,56331.8,69.8
