Dataset,Fold,Oversampling,Classifier,k,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,1000,,,,,0.7489361702127659,0.08155077770404251,0.8742086052974305,11.0,48.0,0.9424110289172672,0.9991558658530152,0.8888888888888888,3.0,0.944022377370952,56815.0,88.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5893552161329874,0.5904447546643465,0.0015965928334982164,0.0025224684696781565,0.034294621979735,29.867017600568303,0.4943699008861834,11.0,4945.0,0.9008818379701314,0.9130365967324974,0.8888888888888888,2.0,0.900962742810693,51918.0,88.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5892477934045902,0.5890365397384765,0.0015600632989493945,0.002055450235552208,0.7323943661971831,0.057980766270848694,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,1.0,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,1000,,,,,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,1000,,,,,0.05884137094328177,0.08384388574111945,0.5153960802667632,2.0,3101.0,0.9624786259585516,0.9454654168791657,0.9797979797979798,0.0,0.9626316983385728,53762.0,97.0
Creditcard Fraud,2,K-Means,Logistic Regression,1000,,,,,0.8677248677248677,0.0852348227014188,0.9337525292596291,17.0,8.0,0.910036426732309,0.9998593109755025,0.8282828282828283,5.0,0.9140710696291654,56855.0,82.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5876857156057052,0.5940067441873406,0.0016093991936811216,0.0015226720133867863,0.48034934497816595,27.248006376787426,0.7396513425273432,44.0,75.0,0.744864283087618,0.9986810403953361,0.5555555555555556,1.0,0.7771182979754458,56788.0,55.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding (SMOTE Original Space),Logistic Regression,1000,0.5878887826515475,0.5941649166026949,0.0016594820239693284,0.0015758700331138427,0.8817204301075269,0.08449833910695315,0.9407635015543174,17.0,5.0,0.9100604358191707,0.9999120693596891,0.8282828282828283,1.0,0.9140974488212588,56858.0,82.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,1000,,,,,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,1000,,,,,0.16745061147695203,0.08594528549863423,0.5798045536629141,10.0,875.0,0.9408274902637216,0.9846121379455886,0.898989898989899,0.0,0.9418010184677438,55988.0,89.0
Creditcard Fraud,3,K-Means,Logistic Regression,1000,,,,,0.7243243243243244,0.06343645851708546,0.8619379607149638,31.0,20.0,0.8267000701609064,0.9996482774387563,0.6836734693877551,6.0,0.8416608734132557,56843.0,67.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,1000,0.5878020292609311,0.594524964105526,0.001620231705746459,0.001742257143865365,0.030303030303030304,27.437169022212913,0.4931275089847934,23.0,4777.0,0.837265532019177,0.9159910662469444,0.7653061224489796,4.0,0.840648594347962,52086.0,75.0
