Dataset,Oversampling,Classifier,k,,AE Loss CE,AE Loss CE Validation,AE Loss MSE,AE Loss MSE Validation,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,Minority Cluster Count,ROC AUC Score,TN,TP
Creditcard Fraud,K-Means,Logistic Regression,1000,count,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means,Logistic Regression,1000,mean,,,,,0.7966872184076979,0.0918024879364654,0.8981651019795021,19.6,21.0,0.8935623511795873,0.9996306913106942,0.8005772005772005,4.6,0.9001039459439474,56842.0,78.8
Creditcard Fraud,K-Means,Logistic Regression,1000,std,,,,,0.05956760646259899,0.02913227774074264,0.02984088643657329,8.23407554009556,16.0,0.04767832091522804,0.00028137804899492844,0.08445840676022165,1.1401754250991378,0.04216065606473241,16.0,8.5848704125339
Creditcard Fraud,K-Means,Logistic Regression,1000,min,,,,,0.7243243243243244,0.06343645851708546,0.8619379607149638,11.0,8.0,0.8267000701609064,0.9991558658530152,0.6836734693877551,3.0,0.8416608734132557,56815.0,67.0
Creditcard Fraud,K-Means,Logistic Regression,1000,25%,,,,,0.7489361702127659,0.08155077770404251,0.8742086052974305,14.0,10.0,0.862998818350662,0.9996482774387563,0.7448979591836735,4.0,0.8723610489515258,56843.0,73.0
Creditcard Fraud,K-Means,Logistic Regression,1000,50%,,,,,0.8066298342541437,0.0852348227014188,0.9031610587998196,17.0,19.0,0.910036426732309,0.9996658635668185,0.8282828282828283,5.0,0.9140710696291654,56844.0,82.0
Creditcard Fraud,K-Means,Logistic Regression,1000,75%,,,,,0.835820895522388,0.08773965996207167,0.9177653558256675,25.0,20.0,0.9256654117367918,0.9998241387193781,0.8571428571428571,5.0,0.928404360354838,56853.0,84.0
Creditcard Fraud,K-Means,Logistic Regression,1000,max,,,,,0.8677248677248677,0.14105072079770853,0.9337525292596291,31.0,48.0,0.9424110289172672,0.9998593109755025,0.8888888888888888,6.0,0.944022377370952,56855.0,88.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,mean,0.589105058539101,0.5898161666598005,0.0016284651408483882,0.001837462578706229,0.3442850280341644,21.778156594156346,0.6628451218445413,27.2,2000.6,0.8318506614707676,0.9648171921987936,0.7235827664399093,2.0,0.8441999793193513,54862.4,71.2
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,std,0.0015187877447652102,0.005490683246493648,3.07273703576938e-05,0.00039258968582662053,0.3217036576794196,10.722684842024089,0.17165384803580552,12.111977542911811,2612.833481108201,0.0571220866408358,0.0459496242039323,0.12240803044192206,1.224744871391589,0.045406591809370386,2612.833481108201,12.111977542911811
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,min,0.5876857156057052,0.5808646719159082,0.0015965928334982164,0.0015226720133867863,0.030303030303030304,3.5707460564421534,0.4931275089847934,11.0,3.0,0.744864283087618,0.9130365967324974,0.5555555555555556,1.0,0.7771182979754458,51918.0,55.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,25%,0.5878020292609311,0.5892396984258811,0.0016093991936811216,0.0016744509660930789,0.034294621979735,20.767843914770935,0.4943699008861834,23.0,75.0,0.8206301582311029,0.9159910662469444,0.673469387755102,1.0,0.8367083146854578,52086.0,66.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,1000,50%,0.5892466468182901,0.5904447546643465,0.001620231705746459,0.0017254643005077573,0.38605898123324395,27.248006376787426,0.6920211153777382,26.0,203.0,0.837265532019177,0.9964300160033766,0.7346938775510204,2.0,0.840648594347962,56660.0,72.0
